New Hampshire, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
198807,169,61
198808,139,68
198809,0,-5
198810,0,0
198811,0,0
198812,0,0
198901,0,0
198902,0,0
198903,0,0
198904,0,0
198905,7,4
198906,33,5
198907,107,-1
198908,69,-2
198909,7,2
198910,0,0
198911,0,0
198912,0,0
199001,0,0
199002,0,0
199003,0,0
199004,0,0
199005,0,-3
199006,34,6
199007,120,12
199008,115,44
199009,5,0
199010,0,0
199011,0,0
199012,0,0
199101,0,0
199102,0,0
199103,0,0
199104,0,0
199105,14,11
199106,41,13
199107,96,-12
199108,113,42
199109,0,-5
199110,0,0
199111,0,0
199112,0,0
199201,0,0
199202,0,0
199203,0,0
199204,0,0
199205,0,-3
199206,18,-10
199207,45,-63
199208,55,-16
199209,5,0
199210,0,0
199211,0,0
199212,0,0
199301,0,0
199302,0,0
199303,0,0
199304,0,0
199305,6,3
199306,25,-3
199307,125,17
199308,106,35
199309,0,-5
199310,0,0
199311,0,0
199312,0,0
199401,0,0
199402,0,0
199403,0,0
199404,0,0
199405,0,-3
199406,72,44
199407,192,84
199408,61,-10
199409,0,-5
199410,0,0
199411,0,0
199412,0,0
199501,0,0
199502,0,0
199503,0,0
199504,0,0
199505,0,-3
199506,50,22
199507,178,70
199508,90,19
199509,0,-5
199510,0,0
199511,0,0
199512,0,0
199601,0,0
199602,0,0
199603,0,0
199604,0,0
199605,0,-3
199606,43,15
199607,88,-20
199608,97,26
199609,8,3
199610,0,0
199611,0,0
199612,0,0
199701,0,0
199702,0,0
199703,0,0
199704,0,0
199705,0,-3
199706,37,9
199707,90,-18
199708,73,2
199709,0,-5
199710,0,0
199711,0,0
199712,0,0
199801,0,0
199802,0,0
199803,0,0
199804,0,0
199805,14,11
199806,22,-6
199807,118,10
199808,112,41
199809,11,6
199810,0,0
199811,0,0
199812,0,0
199901,0,0
199902,0,0
199903,0,0
199904,0,0
199905,6,3
199906,87,59
199907,172,64
199908,78,7
199909,27,22
199910,0,0
199911,0,0
199912,0,0
200001,0,0
200002,0,0
200003,0,0
200004,0,0
200005,0,-3
200006,25,-3
200007,53,-55
200008,59,-12
200009,0,-5
200010,0,0
200011,0,0
200012,0,0
200101,0,0
200102,0,0
200103,0,0
200104,0,0
200105,6,3
200106,59,31
200107,64,-44
200108,160,89
200109,9,4
200110,0,0
200111,0,0
200112,0,0
200201,0,0
200202,0,0
200203,0,0
200204,0,0
200205,0,-3
200206,17,-11
200207,134,26
200208,158,87
200209,29,24
200210,0,0
200211,0,0
200212,0,0
200301,0,0
200302,0,0
200303,0,0
200304,0,0
200305,0,-3
200306,33,5
200307,134,26
200308,139,68
200309,9,4
200310,0,0
200311,0,0
200312,0,0
200401,0,0
200402,0,0
200403,0,0
200404,0,0
200405,7,4
200406,13,-15
200407,88,-20
200408,97,26
200409,10,5
200410,0,0
200411,0,0
200412,0,0
200501,0,0
200502,0,0
200503,0,0
200504,0,0
200505,0,-3
200506,84,56
200507,156,48
200508,136,65
200509,27,22
200510,0,0
200511,0,0
200512,0,0
200601,0,0
200602,0,0
200603,0,0
200604,0,0
200605,0,-3
200606,51,23
200607,195,87
200608,68,-3
200609,5,0
200610,0,0
200611,0,0
200612,0,0
200701,0,0
200702,0,0
200703,0,0
200704,0,0
200705,6,3
200706,34,6
200707,93,-15
200708,97,26
200709,13,8
200710,0,0
200711,0,0
200712,0,0
200801,0,0
200802,0,0
200803,0,0
200804,0,0
200805,0,-3
200806,51,23
200807,150,42
200808,64,-7
200809,9,4
200810,0,0
200811,0,0
200812,0,0
200901,0,0
200902,0,0
200903,0,0
200904,0,0
200905,0,-3
200906,13,-15
200907,56,-52
200908,122,51
200909,0,-5
200910,0,0
200911,0,0
200912,0,0
201001,0,0
201002,0,0
201003,0,0
201004,0,0
201005,12,9
201006,47,19
201007,208,100
201008,105,34
201009,21,16
201010,0,0
201011,0,0
201012,0,0
201101,0,0
201102,0,0
201103,0,0
201104,0,0
201105,8,5
201106,29,1
201107,174,66
201108,106,35
201109,27,22
201110,0,0
201111,0,0
201112,0,0
201201,0,0
201202,0,0
201203,0,0
201204,0,0
201205,12,9
201206,29,1
201207,171,63
201208,151,80
201209,8,3
201210,0,0
201211,0,0
201212,0,0
201301,0,0
201302,0,0
201303,0,0
201304,0,0
201305,6,3
201306,45,17
201307,211,103
201308,79,8
201309,7,2
201310,0,0
201311,0,0
201312,0,0
201401,0,0
201402,0,0
201403,0,0
201404,0,0
201405,0,-3
201406,38,10
201407,139,31
201408,62,-9
201409,8,3
201410,0,0
201411,0,0
201412,0,0
201501,0,0
201502,0,0
201503,0,0
201504,0,0
201505,23,20
201506,13,-15
201507,115,7
201508,134,63
201509,45,40
201510,0,0
201511,0,0
201512,0,0
201601,0,0
201602,0,0
201603,0,0
201604,0,0
201605,6,3
201606,40,12
201607,155,47
201608,152,81
201609,23,18
201610,0,0
201611,0,0
201612,0,0
201701,0,0
201702,0,0
201703,0,0
201704,0,0
201705,0,-3
201706,37,9
201707,105,-3
201708,70,-1
201709,39,34
201710,0,0
201711,0,0
201712,0,0
201801,0,0
201802,0,0
201803,0,0
201804,0,0
201805,14,11
201806,25,-3
201807,192,84
201808,179,108
201809,29,24
201810,0,0
201811,0,0
201812,0,0
201901,0,0
201902,0,0
201903,0,0
201904,0,0
201905,0,-3
201906,25,-3
201907,199,91
201908,97,26
201909,8,3
201910,0,0
201911,0,0
201912,0,0
202001,0,0
202002,0,0
202003,0,0
202004,0,0
202005,0,-3
202006,59,31
202007,226,118
202008,120,49
202009,11,6
202010,0,0
202011,0,0
202012,0,0
202101,0,0
202102,0,0
202103,0,0
202104,0,0
202105,6,3
202106,95,67
202107,88,-20
202108,172,101
202109,23,18
202110,0,0
202111,0,0
202112,0,0
202201,0,0
