Washington, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
199404,0,0
199405,3,1
199406,8,-5
199407,92,37
199408,68,19
199409,29,19
199410,0,0
199411,0,0
199412,0,0
199501,0,0
199502,0,0
199503,0,0
199504,0,0
199505,3,1
199506,14,1
199507,70,15
199508,23,-26
199509,30,20
199510,0,0
199511,0,0
199512,0,0
199601,0,0
199602,0,0
199603,0,0
199604,0,0
199605,0,-2
199606,7,-6
199607,85,30
199608,64,15
199609,4,-6
199610,0,0
199611,0,0
199612,0,0
199701,0,0
199702,0,0
199703,0,0
199704,0,0
199705,3,1
199706,10,-3
199707,48,-7
199708,97,48
199709,21,11
199710,0,0
199711,0,0
199712,0,0
199801,0,0
199802,0,0
199803,0,0
199804,0,0
199805,2,0
199806,16,3
199807,122,67
199808,90,41
199809,34,24
199810,0,0
199811,0,0
199812,0,0
199901,0,0
199902,0,0
199903,0,0
199904,0,0
199905,0,-2
199906,6,-7
199907,33,-22
199908,70,21
199909,10,0
199910,0,0
199911,0,0
199912,0,0
200001,0,0
200002,0,0
200003,0,0
200004,0,0
200005,1,-1
200006,15,2
200007,48,-7
200008,42,-7
200009,8,-2
200010,0,0
200011,0,0
200012,0,0
200101,0,0
200102,0,0
200103,0,0
200104,0,0
200105,2,0
200106,5,-8
200107,43,-12
200108,70,21
200109,18,8
200110,0,0
200111,0,0
200112,0,0
200201,0,0
200202,0,0
200203,0,0
200204,0,0
200205,1,-1
200206,19,6
200207,73,18
200208,52,3
200209,11,1
200210,0,0
200211,0,0
200212,0,0
200301,0,0
200302,0,0
200303,0,0
200304,0,0
200305,1,-1
200306,27,14
200307,102,47
200308,78,29
200309,24,14
200310,0,0
200311,0,0
200312,0,0
200401,0,0
200402,0,0
200403,0,0
200404,0,0
200405,2,0
200406,25,12
200407,106,51
200408,102,53
200409,6,-4
200410,0,0
200411,0,0
200412,0,0
200501,0,0
200502,0,0
200503,0,0
200504,0,0
200505,4,2
200506,10,-3
200507,68,13
200508,80,31
200509,5,-5
200510,0,0
200511,0,0
200512,0,0
200601,1,1
200602,0,0
200603,0,0
200604,0,0
200605,2,0
200606,22,9
200607,96,41
200608,53,4
200609,15,5
200610,0,0
200611,0,0
200612,0,0
200701,0,0
200702,0,0
200703,0,0
200704,0,0
200705,2,0
200706,9,-4
200707,103,48
200708,47,-2
200709,7,-3
200710,0,0
200711,0,0
200712,0,0
200801,0,0
200802,0,0
200803,0,0
200804,0,0
200805,3,1
200806,7,-6
200807,54,-1
200808,57,8
200809,12,2
200810,0,0
200811,0,0
200812,0,0
200901,0,0
200902,0,0
200903,0,0
200904,0,0
200905,2,0
200906,24,11
200907,113,58
200908,66,17
200909,22,12
200910,0,0
200911,0,0
200912,0,0
201001,0,0
201002,0,0
201003,0,0
201004,0,0
201005,0,-2
201006,5,-8
201007,53,-2
201008,51,2
201009,12,2
201010,0,0
201011,0,0
201012,0,0
201101,0,0
201102,0,0
201103,0,0
201104,0,0
201105,0,-2
201106,4,-9
201107,28,-27
201108,61,12
201109,30,20
201110,0,0
201111,0,0
201112,0,0
201201,0,0
201202,0,0
201203,0,0
201204,0,0
201205,1,-1
201206,4,-9
201207,60,5
201208,82,33
201209,18,8
201210,0,0
201211,0,0
201212,0,0
201301,0,0
201302,0,0
201303,0,0
201304,0,0
201305,2,0
201306,17,4
201307,91,36
201308,92,43
201309,22,12
201310,0,0
201311,0,0
201312,0,0
201401,0,0
201402,0,0
201403,0,0
201404,0,0
201405,3,1
201406,15,2
201407,116,61
201408,110,61
201409,27,17
201410,0,0
201411,0,0
201412,0,0
201501,0,0
201502,0,0
201503,0,0
201504,0,0
201505,6,4
201506,72,59
201507,133,78
201508,94,45
201509,6,-4
201510,0,0
201511,0,0
201512,0,0
201601,0,0
201602,0,0
201603,0,0
201604,1,1
201605,4,2
201606,22,9
201607,57,2
201608,86,37
201609,6,-4
201610,0,0
201611,0,0
201612,0,0
201701,0,0
201702,0,0
201703,0,0
201704,0,0
201705,3,1
201706,19,6
201707,86,31
201708,122,73
201709,26,16
201710,0,0
201711,0,0
201712,0,0
201801,0,0
201802,0,0
201803,0,0
201804,0,0
201805,13,11
201806,15,2
201807,113,58
201808,91,42
201809,8,-2
201810,0,0
201811,0,0
201812,0,0
201901,0,0
201902,0,0
201903,0,0
201904,0,0
201905,7,5
201906,19,6
201907,57,2
201908,91,42
201909,12,2
201910,0,0
201911,0,0
201912,0,0
202001,0,0
202002,0,0
202003,0,0
202004,0,0
202005,2,0
202006,13,0
202007,60,5
202008,75,26
202009,34,24
202010,0,0
202011,0,0
202012,0,0
202101,0,0
202102,0,0
202103,0,0
202104,0,0
202105,2,0
202106,63,50
202107,121,66
202108,83,34
202109,14,4
202110,0,0
202111,0,0
202112,0,0
202201,0,0
