South Carolina, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
199706,73.4,-3.6
199707,80.3,0.4
199708,77.4,-1.4
199709,73.5,-0.3
199710,63.1,-0.1
199711,50.3,-2.8
199712,45.6,0.0
199801,48.1,3.5
199802,49.4,2.6
199803,52.7,-1.1
199804,62.0,0.1
199805,72.9,2.6
199806,80.2,3.2
199807,82.3,2.4
199808,79.4,0.6
199809,75.3,1.5
199810,65.2,2.0
199811,57.3,4.2
199812,51.6,6.0
199901,49.0,4.4
199902,49.6,2.8
199903,51.3,-2.5
199904,65.3,3.4
199905,68.4,-1.9
199906,75.4,-1.6
199907,80.9,1.0
199908,82.2,3.4
199909,72.0,-1.8
199910,62.6,-0.6
199911,57.3,4.2
199912,46.7,1.1
200001,43.5,-1.1
200002,49.6,2.8
200003,57.8,4.0
200004,60.4,-1.5
200005,73.4,3.1
200006,78.4,1.4
200007,79.8,-0.1
200008,78.8,0.0
200009,72.2,-1.6
200010,62.6,-0.6
200011,51.8,-1.3
200012,38.6,-7.0
200101,43.3,-1.3
200102,51.3,4.5
200103,52.3,-1.5
200104,63.5,1.6
200105,70.7,0.4
200106,77.0,0.0
200107,78.4,-1.5
200108,79.9,1.1
200109,71.2,-2.6
200110,60.9,-2.3
200111,59.0,5.9
200112,52.0,6.4
200201,47.0,2.4
200202,47.9,1.1
200203,56.0,2.2
200204,67.4,5.5
200205,68.6,-1.7
200206,77.8,0.8
200207,81.9,2.0
200208,79.6,0.8
200209,75.8,2.0
200210,66.4,3.2
200211,51.8,-1.3
200212,44.2,-1.4
200301,41.5,-3.1
200302,46.6,-0.2
200303,57.0,3.2
200304,61.1,-0.8
200305,70.2,-0.1
200306,76.0,-1.0
200307,79.0,-0.9
200308,79.7,0.9
200309,72.4,-1.4
200310,63.2,0.0
200311,58.6,5.5
200312,43.0,-2.6
200401,43.0,-1.6
200402,44.2,-2.6
200403,57.2,3.4
200404,62.5,0.6
200405,74.1,3.8
200406,78.5,1.5
200407,80.3,0.4
200408,77.0,-1.8
200409,73.2,-0.6
200410,66.1,2.9
200411,56.5,3.4
200412,45.6,0.0
200501,47.6,3.0
200502,48.3,1.5
200503,52.4,-1.4
200504,60.5,-1.4
200505,67.5,-2.8
200506,76.2,-0.8
200507,81.6,1.7
200508,80.5,1.7
200509,77.1,3.3
200510,65.2,2.0
200511,55.7,2.6
200512,44.2,-1.4
200601,50.6,6.0
200602,46.5,-0.3
200603,54.4,0.6
200604,66.0,4.1
200605,68.8,-1.5
200606,76.5,-0.5
200607,80.5,0.6
200608,81.1,2.3
200609,72.4,-1.4
200610,61.4,-1.8
200611,54.2,1.1
200612,51.0,5.4
200701,48.4,3.8
200702,45.2,-1.6
200703,58.5,4.7
200704,60.9,-1.0
200705,69.1,-1.2
200706,77.2,0.2
200707,78.5,-1.4
200708,84.0,5.2
200709,75.7,1.9
200710,68.4,5.2
200711,53.6,0.5
200712,52.1,6.5
200801,43.9,-0.7
200802,50.7,3.9
200803,54.7,0.9
200804,61.7,-0.2
200805,69.0,-1.3
200806,80.1,3.1
200807,79.8,-0.1
200808,79.1,0.3
200809,73.8,0.0
200810,61.3,-1.9
200811,50.3,-2.8
200812,51.0,5.4
200901,44.2,-0.4
200902,46.8,0.0
200903,54.1,0.3
200904,61.7,-0.2
200905,70.9,0.6
200906,79.1,2.1
200907,78.9,-1.0
200908,80.0,1.2
200909,73.8,0.0
200910,62.2,-1.0
200911,55.5,2.4
200912,44.9,-0.7
201001,40.7,-3.9
201002,41.2,-5.6
201003,52.2,-1.6
201004,64.5,2.6
201005,73.2,2.9
201006,81.8,4.8
201007,82.3,2.4
201008,81.6,2.8
201009,76.6,2.8
201010,64.4,1.2
201011,54.0,0.9
201012,38.3,-7.3
201101,40.6,-4.0
201102,50.4,3.6
201103,55.8,2.0
201104,65.0,3.1
201105,71.3,1.0
201106,80.8,3.8
201107,82.8,2.9
201108,81.4,2.6
201109,74.1,0.3
201110,61.0,-2.2
201111,55.3,2.2
201112,50.7,5.1
201201,48.3,3.7
201202,50.6,3.8
201203,63.2,9.4
201204,64.2,2.3
201205,72.7,2.4
201206,74.8,-2.2
201207,82.8,2.9
201208,78.0,-0.8
201209,73.6,-0.2
201210,63.7,0.5
201211,50.7,-2.4
201212,51.5,5.9
201301,50.2,5.6
201302,46.6,-0.2
201303,48.4,-5.4
201304,62.1,0.2
201305,67.9,-2.4
201306,77.4,0.4
201307,78.8,-1.1
201308,77.4,-1.4
201309,73.5,-0.3
201310,64.2,1.0
201311,51.5,-1.6
201312,49.9,4.3
201401,39.7,-4.9
201402,48.2,1.4
201403,50.0,-3.8
201404,63.3,1.4
201405,71.7,1.4
201406,78.4,1.4
201407,79.2,-0.7
201408,78.3,-0.5
201409,74.3,0.5
201410,65.0,1.8
201411,49.3,-3.8
201412,49.2,3.6
201501,43.8,-0.8
201502,41.0,-5.8
201503,56.4,2.6
201504,64.8,2.9
201505,71.6,1.3
201506,80.5,3.5
201507,82.2,2.3
201508,79.5,0.7
201509,74.3,0.5
201510,63.3,0.1
201511,58.0,4.9
201512,58.5,12.9
201601,43.0,-1.6
201602,48.0,1.2
201603,60.6,6.8
201604,63.1,1.2
201605,70.1,-0.2
201606,79.8,2.8
201607,83.7,3.8
201608,81.9,3.1
201609,77.1,3.3
201610,66.4,3.2
201611,55.6,2.5
201612,49.0,3.4
201701,51.4,6.8
201702,55.5,8.7
201703,55.5,1.7
201704,67.0,5.1
201705,71.5,1.2
201706,76.9,-0.1
201707,81.0,1.1
201708,79.4,0.6
201709,74.3,0.5
201710,66.2,3.0
201711,54.3,1.2
201712,47.8,2.2
201801,40.6,-4.0
201802,57.4,10.6
201803,52.0,-1.8
201804,60.0,-1.9
201805,73.8,3.5
201806,80.2,3.2
201807,80.2,0.3
201808,80.0,1.2
201809,79.4,5.6
201810,66.9,3.7
201811,51.9,-1.2
201812,48.6,3.0
201901,46.7,2.1
201902,53.0,6.2
201903,54.1,0.3
201904,64.0,2.1
201905,75.4,5.1
201906,77.2,0.2
201907,81.4,1.5
201908,80.3,1.5
201909,78.3,4.5
201910,68.5,5.3
201911,51.0,-2.1
201912,50.3,4.7
202001,50.3,5.7
202002,50.9,4.1
202003,60.4,6.6
202004,62.1,0.2
202005,68.0,-2.3
202006,76.1,-0.9
202007,81.9,2.0
202008,80.1,1.3
202009,73.3,-0.5
202010,67.4,4.2
202011,59.3,6.2
202012,45.6,0.0
202101,45.9,1.3
202102,47.1,0.3
202103,57.6,3.8
202104,62.0,0.1
202105,69.1,-1.2
202106,76.8,-0.2
202107,79.3,-0.6
202108,80.1,1.3
202109,73.5,-0.3
202110,66.8,3.6
202111,51.6,-1.5
202112,54.6,9.0
202201,43.7,-0.9
