Indiana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
199510,55.1,1.2
199511,36.3,-4.8
199512,27.3,-3.0
199601,25.2,-1.4
199602,30.4,1.0
199603,34.1,-5.4
199604,48.1,-2.5
199605,60.8,-0.5
199606,70.8,0.3
199607,71.5,-3.0
199608,72.7,0.3
199609,63.9,-1.8
199610,54.4,0.5
199611,35.7,-5.4
199612,33.0,2.7
199701,23.1,-3.5
199702,34.7,5.3
199703,42.3,2.8
199704,46.9,-3.7
199705,56.2,-5.1
199706,69.2,-1.3
199707,73.8,-0.7
199708,69.8,-2.6
199709,64.8,-0.9
199710,53.6,-0.3
199711,38.6,-2.5
199712,33.0,2.7
199801,34.8,8.2
199802,39.4,10.0
199803,41.3,1.8
199804,52.4,1.8
199805,66.4,5.1
199806,71.1,0.6
199807,73.6,-0.9
199808,73.7,1.3
199809,69.6,3.9
199810,55.8,1.9
199811,44.9,3.8
199812,36.4,6.1
199901,27.0,0.4
199902,36.4,7.0
199903,36.7,-2.8
199904,53.6,3.0
199905,63.6,2.3
199906,72.0,1.5
199907,77.9,3.4
199908,71.2,-1.2
199909,65.6,-0.1
199910,53.7,-0.2
199911,47.8,6.7
199912,33.0,2.7
200001,26.6,0.0
200002,36.7,7.3
200003,45.4,5.9
200004,50.4,-0.2
200005,64.2,2.9
200006,70.4,-0.1
200007,71.8,-2.7
200008,72.0,-0.4
200009,64.4,-1.3
200010,57.2,3.3
200011,40.3,-0.8
200012,19.2,-11.1
200101,26.9,0.3
200102,33.5,4.1
200103,37.2,-2.3
200104,56.5,5.9
200105,64.0,2.7
200106,69.1,-1.4
200107,73.7,-0.8
200108,73.8,1.4
200109,63.6,-2.1
200110,53.7,-0.2
200111,49.0,7.9
200112,36.9,6.6
200201,34.1,7.5
200202,35.2,5.8
200203,38.3,-1.2
200204,53.5,2.9
200205,58.4,-2.9
200206,72.9,2.4
200207,77.0,2.5
200208,74.8,2.4
200209,69.2,3.5
200210,52.4,-1.5
200211,39.9,-1.2
200212,31.7,1.4
200301,21.6,-5.0
200302,25.7,-3.7
200303,42.1,2.6
200304,53.2,2.6
200305,60.5,-0.8
200306,67.1,-3.4
200307,73.0,-1.5
200308,73.8,1.4
200309,63.4,-2.3
200310,52.9,-1.0
200311,46.0,4.9
200312,33.5,3.2
200401,24.5,-2.1
200402,29.9,0.5
200403,44.3,4.8
200404,53.3,2.7
200405,65.9,4.6
200406,69.5,-1.0
200407,72.0,-2.5
200408,68.6,-3.8
200409,67.1,1.4
200410,54.8,0.9
200411,45.9,4.8
200412,30.8,0.5
200501,29.9,3.3
200502,34.8,5.4
200503,37.3,-2.2
200504,54.0,3.4
200505,59.2,-2.1
200506,73.4,2.9
200507,75.0,0.5
200508,74.9,2.5
200509,69.2,3.5
200510,55.2,1.3
200511,44.6,3.5
200512,26.7,-3.6
200601,39.1,12.5
200602,31.7,2.3
200603,40.7,1.2
200604,55.7,5.1
200605,60.1,-1.2
200606,69.8,-0.7
200607,75.4,0.9
200608,73.6,1.2
200609,62.5,-3.2
200610,51.1,-2.8
200611,44.1,3.0
200612,37.3,7.0
200701,32.2,5.6
200702,20.2,-9.2
200703,47.0,7.5
200704,49.4,-1.2
200705,66.2,4.9
200706,72.1,1.6
200707,71.9,-2.6
200708,76.8,4.4
200709,69.0,3.3
200710,60.2,6.3
200711,41.9,0.8
200712,32.5,2.2
200801,27.7,1.1
200802,28.2,-1.2
200803,38.6,-0.9
200804,52.3,1.7
200805,58.1,-3.2
200806,72.2,1.7
200807,73.3,-1.2
200808,71.2,-1.2
200809,67.6,1.9
200810,53.7,-0.2
200811,40.5,-0.6
200812,29.1,-1.2
200901,21.3,-5.3
200902,32.2,2.8
200903,44.2,4.7
200904,51.5,0.9
200905,62.0,0.7
200906,71.6,1.1
200907,69.2,-5.3
200908,70.7,-1.7
200909,65.5,-0.2
200910,50.5,-3.4
200911,46.3,5.2
200912,30.4,0.1
201001,23.9,-2.7
201002,25.7,-3.7
201003,43.6,4.1
201004,57.3,6.7
201005,64.3,3.0
201006,74.1,3.6
201007,76.4,1.9
201008,75.6,3.2
201009,67.2,1.5
201010,56.0,2.1
201011,42.8,1.7
201012,24.3,-6.0
201101,23.7,-2.9
201102,31.2,1.8
201103,41.7,2.2
201104,53.0,2.4
201105,62.1,0.8
201106,72.2,1.7
201107,78.8,4.3
201108,73.1,0.7
201109,63.6,-2.1
201110,53.9,0.0
201111,46.9,5.8
201112,36.6,6.3
201201,32.4,5.8
201202,35.4,6.0
201203,55.0,15.5
201204,52.9,2.3
201205,67.7,6.4
201206,71.6,1.1
201207,80.2,5.7
201208,71.9,-0.5
201209,64.2,-1.5
201210,52.1,-1.8
201211,40.0,-1.1
201212,38.2,7.9
201301,29.9,3.3
201302,30.2,0.8
201303,34.8,-4.7
201304,50.8,0.2
201305,64.4,3.1
201306,70.8,0.3
201307,72.3,-2.2
201308,71.5,-0.9
201309,66.9,1.2
201310,54.3,0.4
201311,39.2,-1.9
201312,29.4,-0.9
201401,19.4,-7.2
201402,22.0,-7.4
201403,34.1,-5.4
201404,52.4,1.8
201405,62.9,1.6
201406,72.6,2.1
201407,69.1,-5.4
201408,72.4,0.0
201409,64.0,-1.7
201410,53.8,-0.1
201411,35.6,-5.5
201412,34.6,4.3
201501,25.3,-1.3
201502,19.3,-10.1
201503,37.2,-2.3
201504,52.9,2.3
201505,65.0,3.7
201506,71.0,0.5
201507,72.9,-1.6
201508,70.6,-1.8
201509,68.8,3.1
201510,55.6,1.7
201511,46.6,5.5
201512,42.5,12.2
201601,27.5,0.9
201602,33.9,4.5
201603,47.3,7.8
201604,52.0,1.4
201605,60.6,-0.7
201606,72.9,2.4
201607,74.6,0.1
201608,75.7,3.3
201609,69.9,4.2
201610,59.5,5.6
201611,47.0,5.9
201612,29.8,-0.5
201701,33.8,7.2
201702,41.3,11.9
201703,42.6,3.1
201704,57.0,6.4
201705,60.9,-0.4
201706,71.1,0.6
201707,74.2,-0.3
201708,70.0,-2.4
201709,67.2,1.5
201710,57.6,3.7
201711,42.4,1.3
201712,29.6,-0.7
201801,24.5,-2.1
201802,35.1,5.7
201803,38.2,-1.3
201804,45.1,-5.5
201805,69.7,8.4
201806,73.4,2.9
201807,74.1,-0.4
201808,74.0,1.6
201809,69.9,4.2
201810,54.9,1.0
201811,36.8,-4.3
201812,35.4,5.1
201901,27.0,0.4
201902,32.3,2.9
201903,37.2,-2.3
201904,52.2,1.6
201905,62.6,1.3
201906,69.9,-0.6
201907,76.3,1.8
201908,72.3,-0.1
201909,70.8,5.1
201910,55.5,1.6
201911,36.5,-4.6
201912,36.2,5.9
202001,34.3,7.7
202002,32.8,3.4
202003,44.6,5.1
202004,48.9,-1.7
202005,59.7,-1.6
202006,72.1,1.6
202007,76.5,2.0
202008,72.0,-0.4
202009,65.2,-0.5
202010,53.1,-0.8
202011,46.7,5.6
202012,33.6,3.3
202101,30.5,3.9
202102,23.7,-5.7
202103,45.8,6.3
202104,51.8,1.2
202105,59.6,-1.7
202106,72.6,2.1
202107,73.7,-0.8
202108,75.1,2.7
202109,68.4,2.7
202110,60.3,6.4
202111,40.0,-1.1
202112,40.5,10.2
202201,24.3,-2.3
