Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,23.5,-5.2
189502,23.9,-9.7
189503,42.0,-0.4
189504,58.2,4.7
189505,65.2,1.8
189506,72.0,-1.4
189507,74.6,-4.3
189508,75.2,-2.1
189509,72.0,3.4
189510,51.7,-4.9
189511,39.0,-3.0
189512,31.3,-0.3
189601,32.5,3.8
189602,36.5,2.9
189603,37.6,-4.8
189604,59.3,5.8
189605,68.2,4.8
189606,73.9,0.5
189607,77.6,-1.3
189608,77.4,0.1
189609,65.3,-3.3
189610,53.3,-3.3
189611,36.3,-5.7
189612,38.2,6.6
189701,27.1,-1.6
189702,32.5,-1.1
189703,41.6,-0.8
189704,53.0,-0.5
189705,63.4,0.0
189706,74.3,0.9
189707,79.3,0.4
189708,75.0,-2.3
189709,72.8,4.2
189710,59.4,2.8
189711,41.1,-0.9
189712,28.1,-3.5
189801,30.2,1.5
189802,35.6,2.0
189803,41.3,-1.1
189804,52.2,-1.3
189805,61.7,-1.7
189806,74.1,0.7
189807,77.0,-1.9
189808,76.8,-0.5
189809,68.2,-0.4
189810,51.5,-5.1
189811,37.0,-5.0
189812,26.0,-5.6
189901,28.1,-0.6
189902,19.0,-14.6
189903,35.8,-6.6
189904,52.5,-1.0
189905,66.0,2.6
189906,73.0,-0.4
189907,75.8,-3.1
189908,79.8,2.5
189909,68.2,-0.4
189910,59.5,2.9
189911,46.4,4.4
189912,29.7,-1.9
190001,34.0,5.3
190002,27.1,-6.5
190003,41.4,-1.0
190004,54.3,0.8
190005,64.6,1.2
190006,74.3,0.9
190007,77.5,-1.4
190008,79.9,2.6
190009,69.5,0.9
190010,59.7,3.1
190011,40.4,-1.6
190012,33.7,2.1
190101,30.7,2.0
190102,26.9,-6.7
190103,40.6,-1.8
190104,51.5,-2.0
190105,62.5,-0.9
190106,76.6,3.2
190107,84.4,5.5
190108,78.2,0.9
190109,68.1,-0.5
190110,58.2,1.6
190111,43.1,1.1
190112,29.6,-2.0
190201,28.8,0.1
190202,27.0,-6.6
190203,44.0,1.6
190204,53.7,0.2
190205,67.4,4.0
190206,70.6,-2.8
190207,76.4,-2.5
190208,77.5,0.2
190209,63.2,-5.4
190210,57.3,0.7
190211,44.2,2.2
190212,26.4,-5.2
190301,30.8,2.1
190302,25.7,-7.9
190303,40.9,-1.5
190304,53.5,0.0
190305,61.2,-2.2
190306,66.2,-7.2
190307,77.9,-1.0
190308,75.0,-2.3
190309,66.0,-2.6
190310,56.0,-0.6
190311,40.2,-1.8
190312,32.2,0.6
190401,27.9,-0.8
190402,32.0,-1.6
190403,45.1,2.7
190404,50.0,-3.5
190405,62.0,-1.4
190406,69.8,-3.6
190407,75.2,-3.7
190408,74.0,-3.3
190409,69.0,0.4
190410,57.4,0.8
190411,44.1,2.1
190412,29.8,-1.8
190501,20.5,-8.2
190502,20.2,-13.4
190503,48.5,6.1
190504,51.5,-2.0
190505,62.0,-1.4
190506,74.8,1.4
190507,74.2,-4.7
190508,77.9,0.6
190509,70.6,2.0
190510,52.2,-4.4
190511,43.9,1.9
190512,31.0,-0.6
190601,33.4,4.7
190602,34.7,1.1
190603,31.6,-10.8
190604,56.8,3.3
190605,64.2,0.8
190606,71.0,-2.4
190607,73.1,-5.8
190608,75.4,-1.9
190609,68.6,0.0
190610,52.7,-3.9
190611,39.3,-2.7
190612,35.6,4.0
190701,29.1,0.4
190702,34.7,1.1
190703,50.5,8.1
190704,47.5,-6.0
190705,57.4,-6.0
190706,71.3,-2.1
190707,78.0,-0.9
190708,77.0,-0.3
190709,69.0,0.4
190710,55.8,-0.8
190711,40.7,-1.3
190712,32.4,0.8
190801,33.6,4.9
190802,35.2,1.6
190803,46.3,3.9
190804,54.5,1.0
190805,62.8,-0.6
190806,71.6,-1.8
190807,75.3,-3.6
190808,75.5,-1.8
190809,69.4,0.8
190810,53.9,-2.7
190811,42.4,0.4
190812,34.0,2.4
190901,28.4,-0.3
190902,35.5,1.9
190903,40.4,-2.0
190904,51.4,-2.1
190905,61.4,-2.0
190906,72.6,-0.8
190907,78.0,-0.9
190908,79.4,2.1
190909,68.8,0.2
190910,55.4,-1.2
190911,46.5,4.5
190912,21.0,-10.6
191001,28.5,-0.2
191002,29.2,-4.4
191003,54.4,12.0
191004,55.9,2.4
191005,59.4,-4.0
191006,72.1,-1.3
191007,79.2,0.3
191008,75.1,-2.2
191009,69.5,0.9
191010,58.6,2.0
191011,42.9,0.9
191012,31.7,0.1
191101,32.6,3.9
191102,34.1,0.5
191103,46.4,4.0
191104,53.0,-0.5
191105,65.6,2.2
191106,79.3,5.9
191107,78.2,-0.7
191108,75.6,-1.7
191109,73.6,5.0
191110,53.5,-3.1
191111,37.2,-4.8
191112,28.8,-2.8
191201,17.5,-11.2
191202,30.1,-3.5
191203,30.3,-12.1
191204,53.0,-0.5
191205,65.8,2.4
191206,68.8,-4.6
191207,79.3,0.4
191208,76.3,-1.0
191209,65.1,-3.5
191210,56.4,-0.2
191211,43.8,1.8
191212,32.9,1.3
191301,27.8,-0.9
191302,24.9,-8.7
191303,38.5,-3.9
191304,55.5,2.0
191305,66.2,2.8
191306,73.7,0.3
191307,81.5,2.6
191308,83.2,5.9
191309,66.6,-2.0
191310,52.7,-3.9
191311,47.3,5.3
191312,32.3,0.7
191401,36.1,7.4
191402,29.0,-4.6
191403,42.3,-0.1
191404,53.6,0.1
191405,63.4,0.0
191406,77.7,4.3
191407,79.6,0.7
191408,77.2,-0.1
191409,71.4,2.8
191410,57.0,0.4
191411,46.6,4.6
191412,21.9,-9.7
191501,27.5,-1.2
191502,36.7,3.1
191503,31.2,-11.2
191504,57.6,4.1
191505,59.4,-4.0
191506,68.5,-4.9
191507,73.5,-5.4
191508,69.3,-8.0
191509,68.0,-0.6
191510,57.2,0.6
191511,46.3,4.3
191512,32.9,1.3
191601,23.5,-5.2
191602,31.3,-2.3
191603,46.5,4.1
191604,49.8,-3.7
191605,63.3,-0.1
191606,69.9,-3.5
191607,80.6,1.7
191608,78.7,1.4
191609,67.0,-1.6
191610,55.9,-0.7
191611,41.7,-0.3
191612,26.5,-5.1
191701,29.7,1.0
191702,31.0,-2.6
191703,41.6,-0.8
191704,50.8,-2.7
191705,56.7,-6.7
191706,72.2,-1.2
191707,80.4,1.5
191708,72.9,-4.4
191709,68.2,-0.4
191710,49.5,-7.1
191711,46.0,4.0
191712,24.9,-6.7
191801,18.0,-10.7
191802,34.7,1.1
191803,48.1,5.7
191804,47.8,-5.7
191805,66.6,3.2
191806,77.6,4.2
191807,77.8,-1.1
191808,81.1,3.8
191809,62.8,-5.8
191810,59.0,2.4
191811,40.9,-1.1
191812,33.2,1.6
191901,28.6,-0.1
191902,31.0,-2.6
191903,42.6,0.2
191904,52.0,-1.5
191905,61.0,-2.4
191906,71.5,-1.9
191907,79.4,0.5
191908,77.6,0.3
191909,71.5,2.9
191910,52.9,-3.7
191911,37.9,-4.1
191912,26.0,-5.6
192001,29.9,1.2
192002,34.5,0.9
192003,43.7,1.3
192004,47.7,-5.8
192005,62.4,-1.0
