Colorado, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
199604,43.7,1.2
199605,55.5,3.7
199606,63.4,2.1
199607,68.1,1.0
199608,66.1,0.9
199609,55.7,-1.6
199610,46.0,-0.5
199611,34.6,1.1
199612,27.2,2.0
199701,24.7,0.9
199702,27.2,-0.2
199703,38.3,4.6
199704,38.4,-4.1
199705,52.6,0.8
199706,62.2,0.9
199707,67.2,0.1
199708,65.0,-0.2
199709,59.8,2.5
199710,45.9,-0.6
199711,32.2,-1.3
199712,24.6,-0.6
199801,28.2,4.4
199802,29.5,2.1
199803,33.7,0.0
199804,41.0,-1.5
199805,54.4,2.6
199806,59.4,-1.9
199807,69.0,1.9
199808,66.2,1.0
199809,62.5,5.2
199810,47.0,0.5
199811,37.6,4.1
199812,26.5,1.3
199901,29.8,6.0
199902,33.3,5.9
199903,39.3,5.6
199904,40.1,-2.4
199905,50.4,-1.4
199906,60.5,-0.8
199907,68.3,1.2
199908,65.5,0.3
199909,55.4,-1.9
199910,48.0,1.5
199911,41.2,7.7
199912,27.9,2.7
200001,29.1,5.3
200002,34.3,6.9
200003,36.6,2.9
200004,46.4,3.9
200005,56.1,4.3
200006,63.0,1.7
200007,69.8,2.7
200008,69.0,3.8
200009,59.4,2.1
200010,47.4,0.9
200011,27.2,-6.3
200012,25.7,0.5
200101,24.7,0.9
200102,28.2,0.8
200103,36.0,2.3
200104,45.9,3.4
200105,53.9,2.1
200106,63.9,2.6
200107,70.2,3.1
200108,66.9,1.7
200109,60.3,3.0
200110,47.9,1.4
200111,37.9,4.4
200112,26.4,1.2
200201,25.4,1.6
200202,27.1,-0.3
200203,32.0,-1.7
200204,47.3,4.8
200205,53.4,1.6
200206,67.1,5.8
200207,71.0,3.9
200208,66.8,1.6
200209,58.4,1.1
200210,43.2,-3.3
200211,33.7,0.2
200212,27.6,2.4
200301,31.6,7.8
200302,26.3,-1.1
200303,36.6,2.9
200304,45.3,2.8
200305,53.8,2.0
200306,60.1,-1.2
200307,72.4,5.3
200308,68.4,3.2
200309,56.7,-0.6
200310,51.5,5.0
200311,33.0,-0.5
200312,28.6,3.4
200401,26.2,2.4
200402,26.3,-1.1
200403,41.8,8.1
200404,44.4,1.9
200405,54.8,3.0
200406,60.8,-0.5
200407,65.9,-1.2
200408,63.2,-2.0
200409,57.7,0.4
200410,46.8,0.3
200411,33.8,0.3
200412,28.4,3.2
200501,30.2,6.4
200502,31.3,3.9
200503,35.2,1.5
200504,43.4,0.9
200505,53.2,1.4
200506,60.9,-0.4
200507,70.0,2.9
200508,65.0,-0.2
200509,60.2,2.9
200510,48.3,1.8
200511,37.5,4.0
200512,26.0,0.8
200601,29.9,6.1
200602,28.0,0.6
200603,34.9,1.2
200604,47.1,4.6
200605,55.6,3.8
200606,65.7,4.4
200607,69.6,2.5
200608,65.6,0.4
200609,53.5,-3.8
200610,44.9,-1.6
200611,36.5,3.0
200612,26.8,1.6
200701,19.4,-4.4
200702,27.7,0.3
200703,40.5,6.8
200704,43.3,0.8
200705,53.5,1.7
200706,62.8,1.5
200707,69.7,2.6
200708,68.8,3.6
200709,59.7,2.4
200710,48.3,1.8
200711,38.0,4.5
200712,22.4,-2.8
200801,20.9,-2.9
200802,27.6,0.2
200803,33.9,0.2
200804,40.9,-1.6
200805,51.0,-0.8
200806,61.6,0.3
200807,69.2,2.1
200808,65.7,0.5
200809,57.3,0.0
200810,47.6,1.1
200811,38.3,4.8
200812,25.3,0.1
200901,28.3,4.5
200902,32.2,4.8
200903,37.1,3.4
200904,42.0,-0.5
200905,54.5,2.7
200906,59.8,-1.5
200907,66.9,-0.2
200908,64.8,-0.4
200909,57.6,0.3
200910,40.8,-5.7
200911,37.8,4.3
200912,20.4,-4.8
201001,26.1,2.3
201002,24.6,-2.8
201003,35.2,1.5
201004,43.6,1.1
201005,50.1,-1.7
201006,64.0,2.7
201007,68.6,1.5
201008,66.5,1.3
201009,61.2,3.9
201010,49.2,2.7
201011,33.6,0.1
201012,31.1,5.9
201101,24.0,0.2
201102,24.2,-3.2
201103,37.7,4.0
201104,43.0,0.5
201105,49.3,-2.5
201106,62.9,1.6
201107,70.0,2.9
201108,69.2,4.0
201109,58.5,1.2
201110,47.1,0.6
201111,34.9,1.4
201112,24.4,-0.8
201201,29.4,5.6
201202,27.4,0.0
201203,41.9,8.2
201204,48.2,5.7
201205,55.4,3.6
201206,67.9,6.6
201207,70.6,3.5
201208,67.7,2.5
201209,59.5,2.2
201210,46.5,0.0
201211,39.4,5.9
201212,25.9,0.7
201301,22.9,-0.9
201302,25.7,-1.7
201303,35.0,1.3
201304,39.8,-2.7
201305,52.8,1.0
201306,65.6,4.3
201307,68.5,1.4
201308,67.0,1.8
201309,60.7,3.4
201310,44.2,-2.3
201311,35.2,1.7
201312,23.7,-1.5
201401,26.4,2.6
201402,27.6,0.2
201403,36.3,2.6
201404,43.3,0.8
201405,52.4,0.6
201406,62.5,1.2
201407,68.4,1.3
201408,64.6,-0.6
201409,60.0,2.7
201410,49.9,3.4
201411,33.4,-0.1
201412,27.9,2.7
201501,29.2,5.4
201502,32.1,4.7
201503,40.6,6.9
201504,44.8,2.3
201505,49.8,-2.0
201506,64.9,3.6
201507,66.6,-0.5
201508,66.9,1.7
201509,62.6,5.3
201510,51.4,4.9
201511,34.6,1.1
201512,25.8,0.6
201601,25.6,1.8
201602,32.4,5.0
201603,37.9,4.2
201604,43.7,1.2
201605,50.8,-1.0
201606,66.4,5.1
201607,69.2,2.1
201608,64.5,-0.7
201609,59.7,2.4
201610,51.8,5.3
201611,40.2,6.7
201612,25.2,0.0
201701,25.3,1.5
201702,35.4,8.0
201703,42.5,8.8
201704,44.3,1.8
201705,51.5,-0.3
201706,64.8,3.5
201707,69.4,2.3
201708,64.7,-0.5
201709,59.1,1.8
201710,46.7,0.2
201711,41.3,7.8
201712,30.1,4.9
201801,29.7,5.9
201802,28.6,1.2
201803,37.8,4.1
201804,44.0,1.5
201805,57.2,5.4
201806,66.5,5.2
201807,70.0,2.9
201808,66.2,1.0
201809,61.9,4.6
201810,45.0,-1.5
201811,32.5,-1.0
201812,26.6,1.4
201901,26.0,2.2
201902,24.9,-2.5
201903,33.8,0.1
201904,45.5,3.0
201905,47.9,-3.9
201906,60.6,-0.7
201907,69.1,2.0
201908,68.3,3.1
201909,62.9,5.6
201910,40.9,-5.6
201911,35.2,1.7
201912,28.1,2.9
202001,27.4,3.6
202002,26.4,-1.0
202003,38.8,5.1
202004,43.4,0.9
202005,55.6,3.8
202006,65.0,3.7
202007,69.3,2.2
202008,70.1,4.9
202009,58.8,1.5
202010,47.1,0.6
202011,38.5,5.0
202012,26.7,1.5
202101,26.7,2.9
202102,24.8,-2.6
202103,35.8,2.1
202104,43.1,0.6
202105,52.9,1.1
202106,65.7,4.4
202107,70.0,2.9
202108,67.4,2.2
202109,62.4,5.1
202110,47.8,1.3
202111,40.7,7.2
202112,32.4,7.2
202201,26.6,2.8
