Minnesota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
199808,68.9,2.6
199809,62.4,5.6
199810,47.7,2.6
199811,31.9,4.0
199812,19.4,6.5
199901,7.6,1.1
199902,23.2,11.2
199903,30.4,5.1
199904,44.7,3.3
199905,56.8,2.5
199906,64.4,0.7
199907,71.3,2.5
199908,66.3,0.0
199909,56.4,-0.4
199910,44.2,-0.9
199911,37.6,9.7
199912,21.4,8.5
200001,10.3,3.8
200002,22.8,10.8
200003,36.4,11.1
200004,42.2,0.8
200005,56.7,2.4
200006,61.5,-2.2
200007,68.6,-0.2
200008,67.6,1.3
200009,56.6,-0.2
200010,48.2,3.1
200011,28.4,0.5
200012,2.5,-10.4
200101,16.0,9.5
200102,6.7,-5.3
200103,24.2,-1.1
200104,43.4,2.0
200105,56.6,2.3
200106,65.1,1.4
200107,70.4,1.6
200108,69.3,3.0
200109,57.4,0.6
200110,44.5,-0.6
200111,40.7,12.8
200112,22.3,9.4
200201,18.1,11.6
200202,23.8,11.8
200203,19.5,-5.8
200204,40.4,-1.0
200205,49.8,-4.5
200206,67.0,3.3
200207,72.2,3.4
200208,66.5,0.2
200209,60.5,3.7
200210,37.7,-7.4
200211,27.8,-0.1
200212,21.2,8.3
200301,10.1,3.6
200302,9.9,-2.1
200303,25.8,0.5
200304,43.4,2.0
200305,54.3,0.0
200306,63.6,-0.1
200307,68.8,0.0
200308,70.2,3.9
200309,57.9,1.1
200310,47.0,1.9
200311,26.6,-1.3
200312,20.6,7.7
200401,5.1,-1.4
200402,16.7,4.7
200403,30.9,5.6
200404,43.7,2.3
200405,51.2,-3.1
200406,60.7,-3.0
200407,66.7,-2.1
200408,60.9,-5.4
200409,62.1,5.3
200410,46.8,1.7
200411,34.0,6.1
200412,16.8,3.9
200501,7.6,1.1
200502,20.3,8.3
200503,26.2,0.9
200504,47.7,6.3
200505,52.4,-1.9
200506,67.4,3.7
200507,70.6,1.8
200508,66.4,0.1
200509,61.6,4.8
200510,47.8,2.7
200511,32.2,4.3
200512,16.6,3.7
200601,24.1,17.6
200602,12.7,0.7
200603,29.4,4.1
200604,48.8,7.4
200605,56.8,2.5
200606,65.7,2.0
200607,73.1,4.3
200608,67.7,1.4
200609,56.3,-0.5
200610,42.2,-2.9
200611,32.0,4.1
200612,23.8,10.9
200701,14.5,8.0
200702,7.7,-4.3
200703,31.7,6.4
200704,41.2,-0.2
200705,58.7,4.4
200706,67.2,3.5
200707,70.6,1.8
200708,66.5,0.2
200709,59.2,2.4
200710,49.4,4.3
200711,30.4,2.5
200712,11.6,-1.3
200801,8.5,2.0
200802,9.4,-2.6
200803,23.5,-1.8
200804,39.6,-1.8
200805,51.5,-2.8
200806,62.9,-0.8
200807,68.4,-0.4
200808,66.8,0.5
200809,58.7,1.9
200810,46.0,0.9
200811,30.8,2.9
200812,6.9,-6.0
200901,2.2,-4.3
200902,15.0,3.0
200903,26.0,0.7
200904,41.8,0.4
200905,53.4,-0.9
200906,62.3,-1.4
200907,64.1,-4.7
200908,64.2,-2.1
200909,62.6,5.8
200910,39.9,-5.2
200911,37.8,9.9
200912,12.0,-0.9
201001,8.8,2.3
201002,12.8,0.8
201003,35.8,10.5
201004,50.0,8.6
201005,56.0,1.7
201006,63.8,0.1
201007,70.4,1.6
201008,70.2,3.9
201009,55.0,-1.8
201010,49.1,4.0
201011,30.7,2.8
201012,11.5,-1.4
201101,5.0,-1.5
201102,13.2,1.2
201103,23.6,-1.7
201104,41.6,0.2
201105,53.6,-0.7
201106,63.4,-0.3
201107,72.7,3.9
201108,68.2,1.9
201109,57.5,0.7
201110,49.9,4.8
201111,32.9,5.0
201112,22.7,9.8
201201,18.4,11.9
201202,22.4,10.4
201203,41.8,16.5
201204,45.5,4.1
201205,58.3,4.0
201206,66.8,3.1
201207,74.3,5.5
201208,66.7,0.4
201209,57.3,0.5
201210,43.2,-1.9
201211,30.9,3.0
201212,16.8,3.9
201301,11.4,4.9
201302,13.0,1.0
201303,20.6,-4.7
201304,34.0,-7.4
201305,53.2,-1.1
201306,63.9,0.2
201307,69.0,0.2
201308,67.8,1.5
201309,61.5,4.7
201310,44.9,-0.2
201311,27.6,-0.3
201312,5.0,-7.9
201401,2.3,-4.2
201402,3.8,-8.2
201403,19.6,-5.7
201404,38.4,-3.0
201405,54.3,0.0
201406,65.0,1.3
201407,66.7,-2.1
201408,67.1,0.8
201409,58.5,1.7
201410,46.2,1.1
201411,21.4,-6.5
201412,20.4,7.5
201501,13.7,7.2
201502,5.6,-6.4
201503,30.7,5.4
201504,44.6,3.2
201505,54.2,-0.1
201506,64.7,1.0
201507,69.5,0.7
201508,65.9,-0.4
201509,63.8,7.0
201510,47.9,2.8
201511,36.5,8.6
201512,24.8,11.9
201601,12.6,6.1
201602,19.9,7.9
201603,35.7,10.4
201604,42.5,1.1
201605,56.7,2.4
201606,65.6,1.9
201607,69.3,0.5
201608,68.1,1.8
201609,60.7,3.9
201610,48.2,3.1
201611,40.2,12.3
201612,15.3,2.4
201701,14.6,8.1
201702,23.9,11.9
201703,28.2,2.9
201704,44.4,3.0
201705,53.6,-0.7
201706,65.0,1.3
201707,69.2,0.4
201708,64.0,-2.3
201709,60.8,4.0
201710,47.1,2.0
201711,27.4,-0.5
201712,13.4,0.5
201801,10.4,3.9
201802,8.6,-3.4
201803,27.5,2.2
201804,32.7,-8.7
201805,61.1,6.8
201806,67.0,3.3
201807,69.7,0.9
201808,67.4,1.1
201809,59.0,2.2
201810,40.7,-4.4
201811,22.8,-5.1
201812,20.2,7.3
201901,6.6,0.1
201902,5.3,-6.7
201903,22.6,-2.7
201904,41.4,0.0
201905,50.5,-3.8
201906,64.4,0.7
201907,70.4,1.6
201908,65.2,-1.1
201909,60.2,3.4
201910,42.4,-2.7
201911,26.0,-1.9
201912,16.6,3.7
202001,14.1,7.6
202002,14.0,2.0
202003,30.4,5.1
202004,39.4,-2.0
202005,53.5,-0.8
202006,67.7,4.0
202007,71.3,2.5
202008,68.2,1.9
202009,56.5,-0.3
202010,38.9,-6.2
202011,33.9,6.0
202012,21.0,8.1
202101,18.3,11.8
202102,6.5,-5.5
202103,35.6,10.3
202104,42.2,0.8
202105,55.1,0.8
202106,69.9,6.2
202107,71.1,2.3
202108,69.4,3.1
202109,61.6,4.8
202110,51.5,6.4
202111,32.1,4.2
202112,18.2,5.3
202201,3.5,-3.0
