Wyoming, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
199404,54.2,3.1
199405,68.5,7.2
199406,76.8,5.1
199407,81.2,0.6
199408,82.5,3.8
199409,72.9,4.7
199410,52.9,-2.9
199411,36.5,-3.5
199412,35.3,4.4
199501,32.6,3.6
199502,39.0,5.5
199503,42.6,1.9
199504,48.4,-2.7
199505,54.9,-6.4
199506,68.5,-3.2
199507,78.8,-1.8
199508,82.8,4.1
199509,68.2,0.0
199510,53.0,-2.8
199511,43.7,3.7
199512,35.8,4.9
199601,28.5,-0.5
199602,36.3,2.8
199603,39.8,-0.9
199604,52.6,1.5
199605,58.7,-2.6
199606,76.2,4.5
199607,82.2,1.6
199608,81.8,3.1
199609,66.6,-1.6
199610,55.3,-0.5
199611,39.4,-0.6
199612,30.5,-0.4
199701,28.7,-0.3
199702,32.9,-0.6
199703,46.0,5.3
199704,46.3,-4.8
199705,63.3,2.0
199706,73.7,2.0
199707,78.9,-1.7
199708,77.7,-1.0
199709,69.8,1.6
199710,56.2,0.4
199711,40.3,0.3
199712,31.2,0.3
199801,32.8,3.8
199802,36.5,3.0
199803,40.0,-0.7
199804,52.2,1.1
199805,64.2,2.9
199806,64.7,-7.0
199807,82.9,2.3
199808,80.5,1.8
199809,74.4,6.2
199810,55.0,-0.8
199811,42.3,2.3
199812,32.3,1.4
199901,34.7,5.7
199902,38.9,5.4
199903,48.2,7.5
199904,47.6,-3.5
199905,59.2,-2.1
199906,70.4,-1.3
199907,81.9,1.3
199908,80.1,1.4
199909,65.9,-2.3
199910,60.8,5.0
199911,52.8,12.8
199912,36.1,5.2
200001,34.3,5.3
200002,40.3,6.8
200003,45.9,5.2
200004,56.3,5.2
200005,64.6,3.3
200006,73.9,2.2
200007,84.8,4.2
200008,83.6,4.9
200009,69.3,1.1
200010,55.8,0.0
200011,30.6,-9.4
200012,30.0,-0.9
200101,32.1,3.1
200102,30.5,-3.0
200103,43.8,3.1
200104,53.3,2.2
200105,65.6,4.3
200106,75.1,3.4
200107,84.1,3.5
200108,83.9,5.2
200109,73.9,5.7
200110,56.6,0.8
200111,46.5,6.5
200112,31.6,0.7
200201,31.0,2.0
200202,35.8,2.3
200203,36.6,-4.1
200204,53.6,2.5
200205,62.0,0.7
200206,77.4,5.7
200207,86.2,5.6
200208,78.7,0.0
200209,69.2,1.0
200210,49.8,-6.0
200211,40.4,0.4
200212,35.0,4.1
200301,38.5,9.5
200302,31.4,-2.1
200303,42.6,1.9
200304,55.6,4.5
200305,63.0,1.7
200306,69.6,-2.1
200307,87.2,6.6
200308,83.6,4.9
200309,67.8,-0.4
200310,62.4,6.6
200311,34.8,-5.2
200312,34.7,3.8
200401,31.6,2.6
200402,34.4,0.9
200403,49.4,8.7
200404,55.2,4.1
200405,62.8,1.5
200406,70.5,-1.2
200407,79.5,-1.1
200408,75.8,-2.9
200409,68.1,-0.1
200410,55.2,-0.6
200411,42.2,2.2
200412,35.9,5.0
200501,35.0,6.0
200502,39.2,5.7
200503,44.5,3.8
200504,53.5,2.4
200505,60.7,-0.6
200506,71.2,-0.5
200507,84.6,4.0
200508,78.5,-0.2
200509,71.2,3.0
200510,58.2,2.4
200511,44.2,4.2
200512,31.0,0.1
200601,37.4,8.4
200602,32.8,-0.7
200603,42.3,1.6
200604,57.4,6.3
200605,66.1,4.8
200606,78.9,7.2
200607,86.0,5.4
200608,80.1,1.4
200609,65.7,-2.5
200610,52.6,-3.2
200611,43.0,3.0
200612,34.6,3.7
200701,28.0,-1.0
200702,35.4,1.9
200703,50.4,9.7
200704,53.2,2.1
200705,65.2,3.9
200706,76.9,5.2
200707,86.4,5.8
200708,81.6,2.9
200709,70.2,2.0
200710,57.2,1.4
200711,45.8,5.8
200712,27.8,-3.1
200801,27.1,-1.9
200802,34.3,0.8
200803,40.0,-0.7
200804,49.7,-1.4
200805,59.0,-2.3
200806,70.6,-1.1
200807,83.3,2.7
200808,80.5,1.8
200809,67.5,-0.7
200810,56.3,0.5
200811,46.2,6.2
200812,30.2,-0.7
200901,34.4,5.4
200902,38.0,4.5
200903,43.7,3.0
200904,50.1,-1.0
200905,63.7,2.4
200906,67.8,-3.9
200907,78.7,-1.9
200908,77.5,-1.2
200909,73.6,5.4
200910,45.8,-10.0
200911,46.9,6.9
200912,25.0,-5.9
201001,33.3,4.3
201002,32.8,-0.7
201003,46.5,5.8
201004,51.3,0.2
201005,56.1,-5.2
201006,70.7,-1.0
201007,80.4,-0.2
201008,79.9,1.2
201009,73.5,5.3
201010,60.8,5.0
201011,39.4,-0.6
201012,33.6,2.7
201101,30.1,1.1
201102,29.4,-4.1
201103,43.0,2.3
201104,48.6,-2.5
201105,55.1,-6.2
201106,71.1,-0.6
201107,82.5,1.9
201108,82.8,4.1
201109,72.5,4.3
201110,57.2,1.4
201111,40.2,0.2
201112,32.6,1.7
201201,36.4,7.4
201202,33.6,0.1
201203,53.1,12.4
201204,58.7,7.6
201205,64.5,3.2
201206,79.5,7.8
201207,85.7,5.1
201208,83.1,4.4
201209,73.9,5.7
201210,54.5,-1.3
201211,46.6,6.6
201212,32.4,1.5
201301,31.2,2.2
201302,33.6,0.1
201303,44.1,3.4
201304,47.3,-3.8
201305,63.4,2.1
201306,76.4,4.7
201307,83.1,2.5
201308,82.2,3.5
201309,70.0,1.8
201310,50.6,-5.2
201311,43.0,3.0
201312,28.9,-2.0
201401,34.2,5.2
201402,30.6,-2.9
201403,44.2,3.5
201404,52.5,1.4
201405,63.1,1.8
201406,70.7,-1.0
201407,81.9,1.3
201408,76.2,-2.5
201409,70.3,2.1
201410,61.0,5.2
201411,39.0,-1.0
201412,34.7,3.8
201501,36.4,7.4
201502,39.8,6.3
201503,51.3,10.6
201504,54.6,3.5
201505,57.7,-3.6
201506,77.4,5.7
201507,78.4,-2.2
201508,80.0,1.3
201509,75.4,7.2
201510,61.5,5.7
201511,40.5,0.5
201512,31.6,0.7
201601,32.7,3.7
201602,41.0,7.5
201603,46.5,5.8
201604,53.5,2.4
201605,60.5,-0.8
201606,80.3,8.6
201607,82.9,2.3
201608,79.5,0.8
201609,69.2,1.0
201610,59.6,3.8
201611,49.5,9.5
201612,28.0,-2.9
201701,27.3,-1.7
201702,38.2,4.7
201703,49.7,9.0
201704,52.3,1.2
201705,62.6,1.3
201706,75.1,3.4
201707,84.8,4.2
201708,78.8,0.1
201709,67.6,-0.6
201710,54.8,-1.0
201711,45.8,5.8
201712,34.8,3.9
201801,35.8,6.8
201802,30.9,-2.6
201803,44.3,3.6
201804,53.3,2.2
201805,66.1,4.8
201806,75.3,3.6
201807,82.8,2.2
201808,79.1,0.4
201809,73.4,5.2
201810,53.3,-2.5
201811,39.2,-0.8
201812,32.0,1.1
201901,32.6,3.6
201902,27.4,-6.1
201903,39.0,-1.7
201904,52.8,1.7
201905,55.7,-5.6
201906,71.1,-0.6
201907,81.0,0.4
201908,80.7,2.0
201909,70.9,2.7
201910,47.5,-8.3
201911,41.8,1.8
201912,32.6,1.7
202001,33.8,4.8
202002,31.7,-1.8
202003,44.4,3.7
202004,51.4,0.3
202005,63.9,2.6
202006,74.3,2.6
202007,83.0,2.4
202008,84.8,6.1
202009,72.0,3.8
202010,55.6,-0.2
202011,46.3,6.3
202012,36.0,5.1
202101,34.2,5.2
202102,28.0,-5.5
202103,44.6,3.9
202104,51.4,0.3
202105,62.2,0.9
202106,81.2,9.5
202107,85.8,5.2
202108,79.6,0.9
202109,74.4,6.2
202110,55.7,-0.1
202111,48.0,8.0
202112,36.6,5.7
202201,34.7,5.7
