South Dakota, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
199408,82.5,-2.0
199409,76.3,1.9
199410,60.5,-1.0
199411,44.4,1.7
199412,32.6,2.4
199501,28.4,2.4
199502,37.2,6.3
199503,41.6,-0.4
199504,49.0,-8.5
199505,62.8,-6.4
199506,76.7,-1.8
199507,84.6,-1.8
199508,86.8,2.3
199509,73.1,-1.3
199510,57.5,-4.0
199511,40.2,-2.5
199512,31.4,1.2
199601,20.9,-5.1
199602,34.2,3.3
199603,35.0,-7.0
199604,55.4,-2.1
199605,61.9,-7.3
199606,79.6,1.1
199607,82.8,-3.6
199608,85.4,0.9
199609,70.6,-3.8
199610,60.2,-1.3
199611,30.1,-12.6
199612,20.3,-9.9
199701,20.1,-5.9
199702,32.0,1.1
199703,43.4,1.4
199704,50.7,-6.8
199705,65.5,-3.7
199706,80.2,1.7
199707,83.0,-3.4
199708,81.4,-3.1
199709,76.8,2.4
199710,63.5,2.0
199711,40.5,-2.2
199712,37.2,7.0
199801,29.4,3.4
199802,40.8,9.9
199803,34.9,-7.1
199804,59.7,2.2
199805,72.2,3.0
199806,72.9,-5.6
199807,85.6,-0.8
199808,84.7,0.2
199809,81.7,7.3
199810,59.0,-2.5
199811,44.6,1.9
199812,37.7,7.5
199901,28.3,2.3
199902,43.5,12.6
199903,48.6,6.6
199904,55.7,-1.8
199905,67.6,-1.6
199906,76.4,-2.1
199907,85.9,-0.5
199908,84.7,0.2
199909,70.6,-3.8
199910,62.1,0.6
199911,56.4,13.7
199912,40.9,10.7
200001,32.4,6.4
200002,42.0,11.1
200003,52.3,10.3
200004,58.3,0.8
200005,71.1,1.9
200006,77.4,-1.1
200007,85.9,-0.5
200008,87.2,2.7
200009,77.9,3.5
200010,62.6,1.1
200011,33.2,-9.5
200012,20.3,-9.9
200101,32.7,6.7
200102,22.4,-8.5
200103,39.5,-2.5
200104,58.0,0.5
200105,70.1,0.9
200106,78.0,-0.5
200107,86.8,0.4
200108,87.7,3.2
200109,75.5,1.1
200110,61.0,-0.5
200111,54.2,11.5
200112,34.5,4.3
200201,34.9,8.9
200202,42.3,11.4
200203,32.6,-9.4
200204,57.9,0.4
200205,66.2,-3.0
200206,84.6,6.1
200207,91.4,5.0
200208,83.8,-0.7
200209,76.2,1.8
200210,49.6,-11.9
200211,45.9,3.2
200212,38.3,8.1
200301,30.9,4.9
200302,29.9,-1.0
200303,44.9,2.9
200304,60.5,3.0
200305,66.8,-2.4
200306,75.8,-2.7
200307,88.7,2.3
200308,89.2,4.7
200309,74.7,0.3
200310,66.2,4.7
200311,37.5,-5.2
200312,35.6,5.4
200401,26.2,0.2
200402,33.2,2.3
200403,50.0,8.0
200404,62.9,5.4
200405,68.6,-0.6
200406,74.8,-3.7
200407,83.8,-2.6
200408,79.8,-4.7
200409,76.1,1.7
200410,61.1,-0.4
200411,48.4,5.7
200412,38.1,7.9
200501,26.8,0.8
200502,41.5,10.6
200503,47.3,5.3
200504,61.3,3.8
200505,66.2,-3.0
200506,78.9,0.4
200507,88.5,2.1
200508,85.0,0.5
200509,80.3,5.9
200510,62.7,1.2
200511,48.6,5.9
200512,28.5,-1.7
200601,41.4,15.4
200602,34.2,3.3
200603,42.6,0.6
200604,63.6,6.1
200605,72.2,3.0
200606,83.2,4.7
200607,93.6,7.2
200608,85.7,1.2
200609,68.7,-5.7
200610,57.1,-4.4
200611,46.1,3.4
200612,38.8,8.6
200701,30.9,4.9
200702,24.5,-6.4
200703,52.2,10.2
200704,54.7,-2.8
200705,72.8,3.6
200706,80.6,2.1
200707,90.4,4.0
200708,83.3,-1.2
200709,76.8,2.4
200710,62.6,1.1
200711,47.2,4.5
200712,29.7,-0.5
200801,27.9,1.9
200802,30.9,0.0
200803,44.1,2.1
200804,55.7,-1.8
200805,65.1,-4.1
200806,75.9,-2.6
200807,86.0,-0.4
200808,84.5,0.0
200809,74.3,-0.1
200810,59.3,-2.2
200811,43.8,1.1
200812,24.8,-5.4
200901,27.8,1.8
200902,33.9,3.0
200903,41.7,-0.3
200904,53.6,-3.9
200905,69.9,0.7
200906,74.6,-3.9
200907,80.4,-6.0
200908,80.5,-4.0
200909,75.9,1.5
200910,47.6,-13.9
200911,52.9,10.2
200912,21.8,-8.4
201001,23.1,-2.9
201002,24.0,-6.9
201003,45.5,3.5
201004,61.8,4.3
201005,65.4,-3.8
201006,77.1,-1.4
201007,85.0,-1.4
201008,87.1,2.6
201009,72.2,-2.2
201010,65.2,3.7
201011,43.0,0.3
201012,26.7,-3.5
201101,22.6,-3.4
201102,26.6,-4.3
201103,36.4,-5.6
201104,53.4,-4.1
201105,63.8,-5.4
201106,76.3,-2.2
201107,87.7,1.3
201108,84.7,0.2
201109,74.8,0.4
201110,64.6,3.1
201111,47.4,4.7
201112,37.7,7.5
201201,37.3,11.3
201202,37.6,6.7
201203,61.6,19.6
201204,63.5,6.0
201205,71.8,2.6
201206,84.4,5.9
201207,93.1,6.7
201208,86.6,2.1
201209,79.8,5.4
201210,58.3,-3.2
201211,46.8,4.1
201212,31.3,1.1
201301,29.6,3.6
201302,33.8,2.9
201303,40.0,-2.0
201304,48.3,-9.2
201305,68.5,-0.7
201306,77.2,-1.3
201307,84.5,-1.9
201308,83.8,-0.7
201309,79.5,5.1
201310,54.4,-7.1
201311,44.1,1.4
201312,24.2,-6.0
201401,30.2,4.2
201402,25.3,-5.6
201403,41.5,-0.5
201404,56.9,-0.6
201405,67.8,-1.4
201406,75.6,-2.9
201407,82.4,-4.0
201408,80.5,-4.0
201409,73.8,-0.6
201410,64.0,2.5
201411,36.6,-6.1
201412,33.7,3.5
201501,33.2,7.2
201502,32.0,1.1
201503,54.1,12.1
201504,62.1,4.6
201505,65.4,-3.8
201506,79.4,0.9
201507,85.1,-1.3
201508,82.9,-1.6
201509,79.6,5.2
201510,64.0,2.5
201511,47.8,5.1
201512,32.5,2.3
201601,28.6,2.6
201602,41.0,10.1
201603,53.4,11.4
201604,58.7,1.2
201605,70.3,1.1
201606,84.9,6.4
201607,86.6,0.2
201608,84.5,0.0
201609,75.2,0.8
201610,64.6,3.1
201611,54.1,11.4
201612,24.6,-5.6
201701,24.7,-1.3
201702,39.9,9.0
201703,46.8,4.8
201704,58.9,1.4
201705,69.3,0.1
201706,82.6,4.1
201707,91.0,4.6
201708,80.3,-4.2
201709,75.2,0.8
201710,61.5,0.0
201711,46.8,4.1
201712,31.7,1.5
201801,29.1,3.1
201802,23.3,-7.6
201803,39.5,-2.5
201804,48.6,-8.9
201805,75.1,5.9
201806,81.1,2.6
201807,84.6,-1.8
201808,83.5,-1.0
201809,73.3,-1.1
201810,54.6,-6.9
201811,39.0,-3.7
201812,34.9,4.7
201901,27.4,1.4
201902,15.0,-15.9
201903,34.5,-7.5
201904,55.6,-1.9
201905,60.8,-8.4
201906,78.8,0.3
201907,83.6,-2.8
201908,79.2,-5.3
201909,75.0,0.6
201910,50.9,-10.6
201911,41.4,-1.3
201912,31.9,1.7
202001,28.9,2.9
202002,34.1,3.2
202003,47.4,5.4
202004,56.0,-1.5
202005,65.8,-3.4
202006,83.2,4.7
202007,86.6,0.2
202008,86.7,2.2
202009,74.8,0.4
202010,53.2,-8.3
202011,52.4,9.7
202012,39.8,9.6
202101,34.8,8.8
202102,23.4,-7.5
202103,52.4,10.4
202104,57.2,-0.3
202105,67.9,-1.3
202106,87.5,9.0
202107,88.7,2.3
202108,86.8,2.3
202109,79.6,5.2
202110,63.1,1.6
202111,50.5,7.8
202112,35.2,5.0
202201,32.0,6.0
