West Virginia, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
199508,86.0,4.3
199509,74.4,-2.1
199510,68.2,2.4
199511,47.4,-5.4
199512,37.9,-4.3
199601,38.6,-1.3
199602,41.4,-1.5
199603,47.2,-4.9
199604,63.3,-0.1
199605,72.1,-1.3
199606,81.0,0.9
199607,80.1,-3.3
199608,80.5,-1.2
199609,72.9,-3.6
199610,64.9,-0.9
199611,46.0,-6.8
199612,47.0,4.8
199701,40.5,0.6
199702,47.8,4.9
199703,55.8,3.7
199704,59.1,-4.3
199705,68.1,-5.3
199706,78.1,-2.0
199707,83.3,-0.1
199708,79.4,-2.3
199709,74.1,-2.4
199710,65.1,-0.7
199711,47.8,-5.0
199712,42.5,0.3
199801,45.3,5.4
199802,46.5,3.6
199803,52.1,0.0
199804,65.4,2.0
199805,74.7,1.3
199806,78.0,-2.1
199807,82.6,-0.8
199808,83.3,1.6
199809,81.1,4.6
199810,66.9,1.1
199811,55.8,3.0
199812,48.6,6.4
199901,44.3,4.4
199902,46.6,3.7
199903,48.0,-4.1
199904,67.5,4.1
199905,75.6,2.2
199906,81.9,1.8
199907,87.6,4.2
199908,82.9,1.2
199909,76.9,0.4
199910,65.3,-0.5
199911,60.0,7.2
199912,45.6,3.4
200001,40.0,0.1
200002,49.4,6.5
200003,58.9,6.8
200004,63.1,-0.3
200005,76.3,2.9
200006,80.9,0.8
200007,79.4,-4.0
200008,79.2,-2.5
200009,73.9,-2.6
200010,68.6,2.8
200011,50.5,-2.3
200012,34.6,-7.6
200101,38.6,-1.3
200102,48.4,5.5
200103,46.8,-5.3
200104,68.1,4.7
200105,73.5,0.1
200106,79.7,-0.4
200107,80.5,-2.9
200108,82.8,1.1
200109,74.0,-2.5
200110,66.0,0.2
200111,62.6,9.8
200112,49.8,7.6
200201,44.7,4.8
200202,48.7,5.8
200203,54.6,2.5
200204,66.6,3.2
200205,71.1,-2.3
200206,81.9,1.8
200207,84.0,0.6
200208,84.6,2.9
200209,80.5,4.0
200210,63.0,-2.8
200211,49.5,-3.3
200212,40.7,-1.5
200301,33.3,-6.6
200302,37.4,-5.5
200303,57.1,5.0
200304,65.9,2.5
200305,69.4,-4.0
200306,75.8,-4.3
200307,81.5,-1.9
200308,82.2,0.5
200309,73.4,-3.1
200310,63.7,-2.1
200311,59.3,6.5
200312,41.1,-1.1
200401,36.4,-3.5
200402,43.1,0.2
200403,56.2,4.1
200404,63.3,-0.1
200405,78.2,4.8
200406,78.0,-2.1
200407,81.0,-2.4
200408,79.4,-2.3
200409,76.4,-0.1
200410,65.6,-0.2
200411,56.3,3.5
200412,44.1,1.9
200501,43.3,3.4
200502,45.6,2.7
200503,46.9,-5.2
200504,66.4,3.0
200505,69.5,-3.9
200506,82.0,1.9
200507,84.2,0.8
200508,84.0,2.3
200509,80.1,3.6
200510,65.2,-0.6
200511,57.5,4.7
200512,38.1,-4.1
200601,49.5,9.6
200602,42.2,-0.7
200603,51.8,-0.3
200604,69.7,6.3
200605,70.5,-2.9
200606,78.1,-2.0
200607,83.0,-0.4
200608,84.5,2.8
200609,70.7,-5.8
200610,61.6,-4.2
200611,55.8,3.0
200612,50.9,8.7
200701,44.0,4.1
200702,33.9,-9.0
200703,58.9,6.8
200704,60.8,-2.6
200705,77.2,3.8
200706,81.9,1.8
200707,81.4,-2.0
200708,86.7,5.0
200709,80.9,4.4
200710,71.8,6.0
200711,53.6,0.8
200712,46.1,3.9
200801,40.4,0.5
200802,43.9,1.0
200803,53.3,1.2
200804,66.7,3.3
200805,69.6,-3.8
200806,81.8,1.7
200807,82.3,-1.1
200808,80.1,-1.6
200809,78.4,1.9
200810,64.4,-1.4
200811,50.3,-2.5
200812,45.2,3.0
200901,36.0,-3.9
200902,45.0,2.1
200903,55.0,2.9
200904,65.1,1.7
200905,72.8,-0.6
200906,79.3,-0.8
200907,78.1,-5.3
200908,81.2,-0.5
200909,74.4,-2.1
200910,61.5,-4.3
200911,58.0,5.2
200912,40.6,-1.6
201001,34.4,-5.5
201002,33.8,-9.1
201003,54.0,1.9
201004,71.0,7.6
201005,75.8,2.4
201006,82.9,2.8
201007,85.4,2.0
201008,84.1,2.4
201009,79.3,2.8
201010,66.8,1.0
201011,55.2,2.4
201012,31.2,-11.0
201101,35.0,-4.9
201102,47.4,4.5
201103,53.0,0.9
201104,67.0,3.6
201105,73.3,-0.1
201106,81.1,1.0
201107,86.2,2.8
201108,82.8,1.1
201109,74.5,-2.0
201110,62.3,-3.5
201111,58.6,5.8
201112,48.1,5.9
201201,44.6,4.7
201202,47.7,4.8
201203,65.6,13.5
201204,64.4,1.0
201205,77.8,4.4
201206,80.7,0.6
201207,86.5,3.1
201208,82.5,0.8
201209,75.7,-0.8
201210,63.9,-1.9
201211,51.0,-1.8
201212,47.8,5.6
201301,42.6,2.7
201302,41.3,-1.6
201303,44.5,-7.6
201304,66.2,2.8
201305,73.0,-0.4
201306,79.6,-0.5
201307,82.4,-1.0
201308,79.0,-2.7
201309,75.2,-1.3
201310,64.9,-0.9
201311,50.4,-2.4
201312,44.7,2.5
201401,34.9,-5.0
201402,40.5,-2.4
201403,49.1,-3.0
201404,67.0,3.6
201405,74.8,1.4
201406,81.2,1.1
201407,80.4,-3.0
201408,79.5,-2.2
201409,75.6,-0.9
201410,64.0,-1.8
201411,47.9,-4.9
201412,45.4,3.2
201501,37.3,-2.6
201502,33.6,-9.3
201503,51.4,-0.7
201504,65.7,2.3
201505,78.3,4.9
201506,80.7,0.6
201507,82.0,-1.4
201508,81.4,-0.3
201509,78.0,1.5
201510,65.2,-0.6
201511,59.7,6.9
201512,55.9,13.7
201601,37.8,-2.1
201602,44.0,1.1
201603,60.7,8.6
201604,66.8,3.4
201605,70.4,-3.0
201606,81.4,1.3
201607,84.1,0.7
201608,85.3,3.6
201609,82.3,5.8
201610,69.1,3.3
201611,57.7,4.9
201612,44.1,1.9
201701,44.9,5.0
201702,53.4,10.5
201703,53.2,1.1
201704,69.8,6.4
201705,72.0,-1.4
201706,79.7,-0.4
201707,83.1,-0.3
201708,80.3,-1.4
201709,75.7,-0.8
201710,70.0,4.2
201711,53.8,1.0
201712,42.1,-0.1
201801,37.3,-2.6
201802,51.7,8.8
201803,47.1,-5.0
201804,59.6,-3.8
201805,80.0,6.6
201806,80.6,0.5
201807,83.9,0.5
201808,82.2,0.5
201809,78.8,2.3
201810,65.1,-0.7
201811,48.5,-4.3
201812,44.8,2.6
201901,39.8,-0.1
201902,48.4,5.5
201903,51.2,-0.9
201904,67.5,4.1
201905,76.9,3.5
201906,78.3,-1.8
201907,85.3,1.9
201908,83.2,1.5
201909,83.6,7.1
201910,69.8,4.0
201911,50.5,-2.3
201912,48.0,5.8
202001,45.7,5.8
202002,47.6,4.7
202003,58.5,6.4
202004,60.3,-3.1
202005,69.0,-4.4
202006,79.6,-0.5
202007,87.4,4.0
202008,82.5,0.8
202009,75.0,-1.5
202010,66.6,0.8
202011,59.8,7.0
202012,42.6,0.4
202101,39.4,-0.5
202102,39.4,-3.5
202103,59.8,7.7
202104,64.0,0.6
202105,71.5,-1.9
202106,80.6,0.5
202107,83.4,0.0
202108,84.4,2.7
202109,76.6,0.1
202110,69.4,3.6
202111,52.0,-0.8
202112,54.0,11.8
202201,37.0,-2.9
