Delaware, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
199709,56.6,-0.5
199710,45.9,0.3
199711,36.9,1.0
199712,30.2,2.8
199801,33.1,8.5
199802,33.3,8.2
199803,36.5,3.9
199804,44.1,3.1
199805,54.6,3.6
199806,61.6,1.5
199807,65.4,0.0
199808,64.6,0.8
199809,60.1,3.0
199810,46.7,1.1
199811,35.6,-0.3
199812,32.4,5.0
199901,27.7,3.1
199902,28.6,3.5
199903,31.8,-0.8
199904,41.4,0.4
199905,51.6,0.6
199906,60.9,0.8
199907,68.4,3.0
199908,65.9,2.1
199909,59.8,2.7
199910,44.4,-1.2
199911,41.1,5.2
199912,31.4,4.0
200001,23.8,-0.8
200002,28.9,3.8
200003,37.6,5.0
200004,42.6,1.6
200005,54.0,3.0
200006,63.0,2.9
200007,63.7,-1.7
200008,64.2,0.4
200009,56.3,-0.8
200010,45.6,0.0
200011,34.4,-1.5
200012,22.3,-5.1
200101,24.7,0.1
200102,28.9,3.8
200103,31.7,-0.9
200104,42.3,1.3
200105,52.3,1.3
200106,63.6,3.5
200107,62.5,-2.9
200108,66.9,3.1
200109,55.6,-1.5
200110,45.2,-0.4
200111,39.1,3.2
200112,34.9,7.5
200201,31.4,6.8
200202,29.6,4.5
200203,35.9,3.3
200204,45.8,4.8
200205,51.0,0.0
200206,62.0,1.9
200207,66.7,1.3
200208,67.1,3.3
200209,59.6,2.5
200210,49.4,3.8
200211,36.8,0.9
200212,27.3,-0.1
200301,21.9,-2.7
200302,24.1,-1.0
200303,34.2,1.6
200304,41.8,0.8
200305,50.1,-0.9
200306,60.7,0.6
200307,67.0,1.6
200308,67.4,3.6
200309,60.1,3.0
200310,44.8,-0.8
200311,41.2,5.3
200312,28.9,1.5
200401,20.8,-3.8
200402,26.8,1.7
200403,36.6,4.0
200404,44.4,3.4
200405,59.2,8.2
200406,61.4,1.3
200407,67.0,1.6
200408,65.0,1.2
200409,59.9,2.8
200410,46.8,1.2
200411,39.0,3.1
200412,29.4,2.0
200501,25.8,1.2
200502,27.6,2.5
200503,31.4,-1.2
200504,42.6,1.6
200505,47.4,-3.6
200506,63.1,3.0
200507,68.6,3.2
200508,68.4,4.6
200509,60.2,3.1
200510,49.9,4.3
200511,39.1,3.2
200512,27.1,-0.3
200601,32.6,8.0
200602,27.5,2.4
200603,33.7,1.1
200604,44.3,3.3
200605,51.3,0.3
200606,62.7,2.6
200607,68.7,3.3
200608,66.9,3.1
200609,57.0,-0.1
200610,45.9,0.3
200611,42.1,6.2
200612,33.5,6.1
200701,31.1,6.5
200702,21.5,-3.6
200703,33.6,1.0
200704,40.8,-0.2
200705,52.1,1.1
200706,62.5,2.4
200707,65.6,0.2
200708,66.4,2.6
200709,58.6,1.5
200710,53.7,8.1
200711,36.7,0.8
200712,31.1,3.7
200801,27.8,3.2
200802,28.4,3.3
200803,34.9,2.3
200804,44.9,3.9
200805,49.7,-1.3
200806,64.1,4.0
200807,66.9,1.5
200808,62.1,-1.7
200809,59.7,2.6
200810,45.1,-0.5
200811,37.3,1.4
200812,30.9,3.5
200901,22.5,-2.1
200902,28.2,3.1
200903,33.1,0.5
200904,44.0,3.0
200905,53.9,2.9
200906,62.0,1.9
200907,64.4,-1.0
200908,67.9,4.1
200909,58.2,1.1
200910,46.6,1.0
200911,42.3,6.4
200912,29.0,1.6
201001,25.5,0.9
201002,24.4,-0.7
201003,38.3,5.7
201004,45.2,4.2
201005,55.2,4.2
201006,66.6,6.5
201007,69.5,4.1
201008,67.1,3.3
201009,60.3,3.2
201010,48.5,2.9
201011,37.4,1.5
201012,24.2,-3.2
201101,22.8,-1.8
201102,27.8,2.7
201103,34.2,1.6
201104,46.6,5.6
201105,55.8,4.8
201106,63.3,3.2
201107,69.6,4.2
201108,65.4,1.6
201109,62.6,5.5
201110,47.2,1.6
201111,40.3,4.4
201112,33.1,5.7
201201,29.2,4.6
201202,31.3,6.2
201203,41.8,9.2
201204,43.3,2.3
201205,57.7,6.7
201206,61.5,1.4
201207,70.7,5.3
201208,67.7,3.9
201209,57.8,0.7
201210,49.9,4.3
201211,34.0,-1.9
201212,35.8,8.4
201301,28.8,4.2
201302,27.9,2.8
201303,31.9,-0.7
201304,43.5,2.5
201305,53.8,2.8
201306,64.0,3.9
201307,70.6,5.2
201308,64.4,0.6
201309,55.7,-1.4
201310,49.8,4.2
201311,35.1,-0.8
201312,31.4,4.0
201401,19.7,-4.9
201402,25.0,-0.1
201403,29.2,-3.4
201404,41.9,0.9
201405,54.2,3.2
201406,62.3,2.2
201407,65.8,0.4
201408,62.5,-1.3
201409,59.5,2.4
201410,49.7,4.1
201411,34.9,-1.0
201412,33.6,6.2
201501,24.0,-0.6
201502,16.5,-8.6
201503,29.6,-3.0
201504,43.1,2.1
201505,56.8,5.8
201506,64.7,4.6
201507,67.8,2.4
201508,64.5,0.7
201509,62.2,5.1
201510,46.1,0.5
201511,41.3,5.4
201512,42.2,14.8
201601,25.0,0.4
201602,29.6,4.5
201603,39.2,6.6
201604,41.7,0.7
201605,52.6,1.6
201606,62.2,2.1
201607,70.1,4.7
201608,68.5,4.7
201609,63.2,6.1
201610,50.1,4.5
201611,38.0,2.1
201612,30.3,2.9
201701,32.0,7.4
201702,33.7,8.6
201703,33.7,1.1
201704,49.2,8.2
201705,53.6,2.6
201706,63.2,3.1
201707,69.3,3.9
201708,65.0,1.2
201709,60.7,3.6
201710,52.4,6.8
201711,37.3,1.4
201712,27.5,0.1
201801,23.2,-1.4
201802,33.7,8.6
201803,32.0,-0.6
201804,40.8,-0.2
201805,58.1,7.1
201806,63.3,3.2
201807,67.6,2.2
201808,69.4,5.6
201809,66.4,9.3
201810,51.0,5.4
201811,37.4,1.5
201812,33.1,5.7
201901,26.5,1.9
201902,29.8,4.7
201903,33.6,1.0
201904,48.1,7.1
201905,57.2,6.2
201906,64.0,3.9
201907,69.4,4.0
201908,66.9,3.1
201909,60.8,3.7
201910,52.1,6.5
201911,33.3,-2.6
201912,30.8,3.4
202001,31.3,6.7
202002,32.6,7.5
202003,39.7,7.1
202004,41.6,0.6
202005,50.9,-0.1
202006,63.2,3.1
202007,70.7,5.3
202008,68.5,4.7
202009,59.6,2.5
202010,50.2,4.6
202011,40.5,4.6
202012,30.8,3.4
202101,28.5,3.9
202102,28.5,3.4
202103,36.9,4.3
202104,43.5,2.5
202105,51.4,0.4
202106,63.8,3.7
202107,68.0,2.6
202108,68.0,4.2
202109,60.1,3.0
202110,53.8,8.2
202111,34.6,-1.3
202112,34.7,7.3
202201,22.4,-2.2
