Tennessee, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
199508,68.7,4.3
199509,56.7,-1.2
199510,45.5,-0.2
199511,31.5,-4.3
199512,27.8,-1.6
199601,26.0,-1.3
199602,28.1,-1.4
199603,32.0,-4.9
199604,41.2,-4.0
199605,57.1,3.2
199606,62.6,0.6
199607,65.4,-0.3
199608,64.4,0.0
199609,56.6,-1.3
199610,46.4,0.7
199611,35.1,-0.7
199612,32.6,3.2
199701,27.0,-0.3
199702,35.6,6.1
199703,40.8,3.9
199704,40.3,-4.9
199705,49.0,-4.9
199706,62.4,0.4
199707,66.2,0.5
199708,63.0,-1.4
199709,57.5,-0.4
199710,45.4,-0.3
199711,34.8,-1.0
199712,30.5,1.1
199801,34.6,7.3
199802,36.2,6.7
199803,39.1,2.2
199804,45.7,0.5
199805,58.4,4.5
199806,65.1,3.1
199807,68.7,3.0
199808,65.3,0.9
199809,60.5,2.6
199810,47.7,2.0
199811,38.7,2.9
199812,34.0,4.6
199901,32.0,4.7
199902,33.9,4.4
199903,33.5,-3.4
199904,49.8,4.6
199905,53.1,-0.8
199906,64.0,2.0
199907,69.1,3.4
199908,63.3,-1.1
199909,53.7,-4.2
199910,44.2,-1.5
199911,39.4,3.6
199912,30.2,0.8
200001,28.3,1.0
200002,33.4,3.9
200003,39.6,2.7
200004,43.3,-1.9
200005,57.3,3.4
200006,63.2,1.2
200007,65.4,-0.3
200008,65.2,0.8
200009,58.0,0.1
200010,46.6,0.9
200011,36.6,0.8
200012,21.4,-8.0
200101,24.4,-2.9
200102,34.1,4.6
200103,34.1,-2.8
200104,49.2,4.0
200105,55.0,1.1
200106,60.6,-1.4
200107,66.9,1.2
200108,66.8,2.4
200109,56.3,-1.6
200110,42.6,-3.1
200111,38.1,2.3
200112,34.2,4.8
200201,29.3,2.0
200202,29.1,-0.4
200203,36.5,-0.4
200204,48.5,3.3
200205,52.5,-1.4
200206,63.3,1.3
200207,68.3,2.6
200208,66.1,1.7
200209,62.0,4.1
200210,52.6,6.9
200211,35.6,-0.2
200212,30.3,0.9
200301,22.4,-4.9
200302,30.4,0.9
200303,39.7,2.8
200304,47.3,2.1
200305,56.7,2.8
200306,59.9,-2.1
200307,66.2,0.5
200308,67.0,2.6
200309,56.5,-1.4
200310,46.0,0.3
200311,41.7,5.9
200312,28.8,-0.6
200401,26.4,-0.9
200402,29.7,0.2
200403,41.2,4.3
200404,44.9,-0.3
200405,59.4,5.5
200406,64.3,2.3
200407,65.6,-0.1
200408,61.4,-3.0
200409,58.5,0.6
200410,52.5,6.8
200411,43.6,7.8
200412,28.2,-1.2
200501,34.0,6.7
200502,34.8,5.3
200503,35.6,-1.3
200504,45.6,0.4
200505,50.2,-3.7
200506,63.4,1.4
200507,68.6,2.9
200508,68.2,3.8
200509,60.0,2.1
200510,46.8,1.1
200511,37.4,1.6
200512,26.7,-2.7
200601,34.3,7.0
200602,28.4,-1.1
200603,37.9,1.0
200604,50.6,5.4
200605,53.9,0.0
200606,61.2,-0.8
200607,66.7,1.0
200608,68.4,4.0
200609,56.1,-1.8
200610,44.0,-1.7
200611,36.7,0.9
200612,31.5,2.1
200701,30.9,3.6
200702,25.5,-4.0
200703,43.1,6.2
200704,42.8,-2.4
200705,54.9,1.0
200706,62.3,0.3
200707,65.4,-0.3
200708,69.3,4.9
200709,60.6,2.7
200710,51.0,5.3
200711,36.1,0.3
200712,34.6,5.2
200801,26.3,-1.0
200802,31.8,2.3
200803,37.1,0.2
200804,45.4,0.2
200805,53.1,-0.8
200806,63.7,1.7
200807,65.0,-0.7
200808,63.6,-0.8
200809,59.6,1.7
200810,44.9,-0.8
200811,33.6,-2.2
200812,30.2,0.8
200901,25.5,-1.8
200902,30.5,1.0
200903,39.5,2.6
200904,44.9,-0.3
200905,56.8,2.9
200906,64.4,2.4
200907,63.6,-2.1
200908,64.5,0.1
200909,61.7,3.8
200910,46.2,0.5
200911,38.5,2.7
200912,29.2,-0.2
201001,24.1,-3.2
201002,25.7,-3.8
201003,36.9,0.0
201004,46.7,1.5
201005,58.1,4.2
201006,67.7,5.7
201007,69.0,3.3
201008,68.8,4.4
201009,58.0,0.1
201010,43.6,-2.1
201011,37.3,1.5
201012,24.2,-5.2
201101,25.0,-2.3
201102,32.3,2.8
201103,40.2,3.3
201104,48.6,3.4
201105,54.7,0.8
201106,65.2,3.2
201107,69.8,4.1
201108,65.6,1.2
201109,57.1,-0.8
201110,43.7,-2.0
201111,40.2,4.4
201112,32.9,3.5
201201,31.7,4.4
201202,34.2,4.7
201203,47.5,10.6
201204,47.3,2.1
201205,58.6,4.7
201206,60.5,-1.5
201207,69.5,3.8
201208,64.2,-0.2
201209,57.8,-0.1
201210,45.6,-0.1
201211,32.3,-3.5
201212,36.3,6.9
201301,32.2,4.9
201302,30.8,1.3
201303,32.8,-4.1
201304,44.8,-0.4
201305,53.9,0.0
201306,63.9,1.9
201307,65.4,-0.3
201308,65.4,1.0
201309,59.5,1.6
201310,48.6,2.9
201311,33.3,-2.5
201312,31.0,1.6
201401,18.5,-8.8
201402,28.2,-1.3
201403,32.6,-4.3
201404,45.2,0.0
201405,55.7,1.8
201406,65.1,3.1
201407,62.7,-3.0
201408,65.2,0.8
201409,60.1,2.2
201410,48.5,2.8
201411,31.8,-4.0
201412,35.4,6.0
201501,26.3,-1.0
201502,21.3,-8.2
201503,37.7,0.8
201504,48.3,3.1
201505,56.2,2.3
201506,65.4,3.4
201507,68.9,3.2
201508,63.4,-1.0
201509,59.3,1.4
201510,48.1,2.4
201511,43.4,7.6
201512,41.7,12.3
201601,24.9,-2.4
201602,33.6,4.1
201603,42.1,5.2
201604,46.7,1.5
201605,54.1,0.2
201606,64.8,2.8
201607,69.3,3.6
201608,69.3,4.9
201609,61.4,3.5
201610,50.7,5.0
201611,39.0,3.2
201612,31.3,1.9
201701,36.9,9.6
201702,37.4,7.9
201703,39.3,2.4
201704,51.2,6.0
201705,55.4,1.5
201706,62.3,0.3
201707,67.9,2.2
201708,64.5,0.1
201709,57.8,-0.1
201710,48.2,2.5
201711,38.4,2.6
201712,30.0,0.6
201801,22.9,-4.4
201802,38.9,9.4
201803,38.2,1.3
201804,40.8,-4.4
201805,61.0,7.1
201806,65.9,3.9
201807,67.9,2.2
201808,66.5,2.1
201809,65.6,7.7
201810,50.2,4.5
201811,35.0,-0.8
201812,34.5,5.1
201901,30.9,3.6
201902,37.4,7.9
201903,35.6,-1.3
201904,46.9,1.7
201905,59.0,5.1
201906,63.2,1.2
201907,67.8,2.1
201908,66.2,1.8
201909,63.1,5.2
201910,49.6,3.9
201911,32.4,-3.4
201912,35.3,5.9
202001,34.4,7.1
202002,34.4,4.9
202003,45.3,8.4
202004,43.3,-1.9
202005,53.2,-0.7
202006,62.7,0.7
202007,69.0,3.3
202008,66.7,2.3
202009,60.1,2.2
202010,49.2,3.5
202011,39.0,3.2
202012,29.0,-0.4
202101,31.2,3.9
202102,28.6,-0.9
202103,42.0,5.1
202104,43.4,-1.8
202105,52.6,-1.3
202106,63.7,1.7
202107,67.4,1.7
202108,67.4,3.0
202109,58.9,1.0
202110,53.3,7.6
202111,33.1,-2.7
202112,39.6,10.2
202201,25.3,-2.0
