Missouri, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
199311,31.0,-1.8
199312,26.3,2.7
199401,18.0,-1.6
199402,21.9,-1.2
199403,33.0,0.7
199404,43.2,0.3
199405,50.2,-2.5
199406,64.5,2.7
199407,64.1,-2.0
199408,61.6,-2.6
199409,54.0,-2.3
199410,46.5,1.9
199411,38.4,5.6
199412,29.5,5.9
199501,20.8,1.2
199502,24.8,1.7
199503,34.3,2.0
199504,41.4,-1.5
199505,51.5,-1.2
199506,61.4,-0.4
199507,66.2,0.1
199508,68.7,4.5
199509,53.3,-3.0
199510,43.7,-0.9
199511,28.6,-4.2
199512,24.4,0.8
199601,17.6,-2.0
199602,23.3,0.2
199603,26.4,-5.9
199604,39.6,-3.3
199605,55.6,2.9
199606,62.4,0.6
199607,64.4,-1.7
199608,64.2,0.0
199609,53.6,-2.7
199610,44.4,-0.2
199611,30.3,-2.5
199612,24.2,0.6
199701,16.0,-3.6
199702,29.5,6.4
199703,34.3,2.0
199704,38.6,-4.3
199705,47.3,-5.4
199706,61.5,-0.3
199707,66.3,0.2
199708,63.1,-1.1
199709,57.0,0.7
199710,45.6,1.0
199711,33.1,0.3
199712,27.4,3.8
199801,27.7,8.1
199802,33.1,10.0
199803,32.8,0.5
199804,43.1,0.2
199805,58.1,5.4
199806,63.2,1.4
199807,68.8,2.7
199808,66.3,2.1
199809,62.0,5.7
199810,47.0,2.4
199811,38.3,5.5
199812,26.5,2.9
199901,22.1,2.5
199902,32.6,9.5
199903,31.4,-0.9
199904,47.0,4.1
199905,52.4,-0.3
199906,62.7,0.9
199907,69.0,2.9
199908,63.0,-1.2
199909,52.6,-3.7
199910,42.6,-2.0
199911,38.6,5.8
199912,26.8,3.2
200001,23.0,3.4
200002,31.5,8.4
200003,36.7,4.4
200004,41.4,-1.5
200005,56.0,3.3
200006,61.0,-0.8
200007,66.4,0.3
200008,68.2,4.0
200009,55.3,-1.0
200010,48.4,3.8
200011,30.4,-2.4
200012,12.1,-11.5
200101,20.3,0.7
200102,24.2,1.1
200103,29.2,-3.1
200104,48.8,5.9
200105,54.9,2.2
200106,61.2,-0.6
200107,68.9,2.8
200108,65.8,1.6
200109,54.4,-1.9
200110,43.7,-0.9
200111,39.7,6.9
200112,28.7,5.1
200201,24.3,4.7
200202,26.5,3.4
200203,28.7,-3.6
200204,45.6,2.7
200205,50.1,-2.6
200206,64.0,2.2
200207,68.1,2.0
200208,65.9,1.7
200209,58.2,1.9
200210,42.9,-1.7
200211,31.4,-1.4
200212,25.5,1.9
200301,17.6,-2.0
200302,21.8,-1.3
200303,32.7,0.4
200304,44.9,2.0
200305,52.4,-0.3
200306,58.4,-3.4
200307,66.8,0.7
200308,66.8,2.6
200309,53.0,-3.3
200310,44.8,0.2
200311,36.8,4.0
200312,27.7,4.1
200401,20.4,0.8
200402,22.8,-0.3
200403,37.8,5.5
200404,44.7,1.8
200405,56.6,3.9
200406,60.6,-1.2
200407,64.6,-1.5
200408,59.9,-4.3
200409,55.7,-0.6
200410,47.8,3.2
200411,39.4,6.6
200412,24.5,0.9
200501,25.4,5.8
200502,30.7,7.6
200503,31.7,-0.6
200504,45.4,2.5
200505,50.3,-2.4
200506,63.6,1.8
200507,66.2,0.1
200508,67.1,2.9
200509,60.4,4.1
200510,44.9,0.3
200511,35.7,2.9
200512,22.3,-1.3
200601,31.0,11.4
200602,22.3,-0.8
200603,34.7,2.4
200604,47.9,5.0
200605,53.9,1.2
200606,61.9,0.1
200607,67.5,1.4
200608,67.3,3.1
200609,53.1,-3.2
200610,42.2,-2.4
200611,35.8,3.0
200612,28.5,4.9
200701,22.7,3.1
200702,19.8,-3.3
200703,41.5,9.2
200704,40.7,-2.2
200705,57.6,4.9
200706,63.1,1.3
200707,65.1,-1.0
200708,69.4,5.2
200709,58.7,2.4
200710,48.4,3.8
200711,33.5,0.7
200712,24.6,1.0
200801,20.0,0.4
200802,22.2,-0.9
200803,31.6,-0.7
200804,41.3,-1.6
200805,51.1,-1.6
200806,63.4,1.6
200807,66.4,0.3
200808,63.3,-0.9
200809,56.8,0.5
200810,43.8,-0.8
200811,33.6,0.8
200812,20.2,-3.4
200901,17.3,-2.3
200902,26.9,3.8
200903,35.2,2.9
200904,42.7,-0.2
200905,53.3,0.6
200906,64.2,2.4
200907,62.6,-3.5
200908,61.9,-2.3
200909,56.5,0.2
200910,41.8,-2.8
200911,39.7,6.9
200912,22.4,-1.2
201001,17.8,-1.8
201002,19.7,-3.4
201003,34.8,2.5
201004,48.1,5.2
201005,54.2,1.5
201006,66.9,5.1
201007,69.3,3.2
201008,67.2,3.0
201009,57.7,1.4
201010,44.1,-0.5
201011,34.7,1.9
201012,21.2,-2.4
201101,17.2,-2.4
201102,23.3,0.2
201103,35.2,2.9
201104,45.2,2.3
201105,52.4,-0.3
201106,65.2,3.4
201107,71.8,5.7
201108,66.4,2.2
201109,52.8,-3.5
201110,43.6,-1.0
201111,37.8,5.0
201112,28.2,4.6
201201,25.0,5.4
201202,30.1,7.0
201203,46.3,14.0
201204,46.9,4.0
201205,57.2,4.5
201206,61.9,0.1
201207,70.3,4.2
201208,62.4,-1.8
201209,55.4,-0.9
201210,43.0,-1.6
201211,32.8,0.0
201212,29.2,5.6
201301,23.6,4.0
201302,24.9,1.8
201303,29.0,-3.3
201304,40.7,-2.2
201305,52.6,-0.1
201306,62.8,1.0
201307,64.1,-2.0
201308,64.3,0.1
201309,58.6,2.3
201310,44.4,-0.2
201311,31.3,-1.5
201312,20.3,-3.3
201401,13.8,-5.8
201402,16.2,-6.9
201403,26.3,-6.0
201404,42.9,0.0
201405,54.1,1.4
201406,64.6,2.8
201407,61.6,-4.5
201408,65.9,1.7
201409,55.8,-0.5
201410,46.3,1.7
201411,27.6,-5.2
201412,30.2,6.6
201501,20.7,1.1
201502,15.7,-7.4
201503,32.8,0.5
201504,46.2,3.3
201505,54.8,2.1
201506,65.2,3.4
201507,68.2,2.1
201508,62.8,-1.4
201509,60.3,4.0
201510,45.8,1.2
201511,38.5,5.7
201512,33.2,9.6
201601,21.7,2.1
201602,28.5,5.4
201603,39.1,6.8
201604,45.5,2.6
201605,51.7,-1.0
201606,65.7,3.9
201607,68.4,2.3
201608,67.2,3.0
201609,60.6,4.3
201610,50.6,6.0
201611,39.3,6.5
201612,22.9,-0.7
201701,26.7,7.1
201702,33.0,9.9
201703,37.5,5.2
201704,47.7,4.8
201705,52.6,-0.1
201706,62.0,0.2
201707,67.9,1.8
201708,61.3,-2.9
201709,57.9,1.6
201710,47.2,2.6
201711,35.1,2.3
201712,24.4,0.8
201801,17.6,-2.0
201802,24.8,1.7
201803,33.9,1.6
201804,36.1,-6.8
201805,60.9,8.2
201806,66.5,4.7
201807,66.8,0.7
201808,65.8,1.6
201809,60.9,4.6
201810,45.7,1.1
201811,28.5,-4.3
201812,28.0,4.4
201901,22.9,3.3
201902,23.7,0.6
201903,30.9,-1.4
201904,44.9,2.0
201905,54.6,1.9
201906,62.2,0.4
201907,67.6,1.5
201908,65.6,1.4
201909,64.1,7.8
201910,43.3,-1.3
201911,29.4,-3.4
201912,29.0,5.4
202001,26.6,7.0
202002,26.0,2.9
202003,38.8,6.5
202004,41.4,-1.5
202005,52.3,-0.4
202006,64.1,2.3
202007,69.1,3.0
202008,63.4,-0.8
202009,56.4,0.1
202010,42.1,-2.5
202011,37.8,5.0
202012,25.5,1.9
202101,26.4,6.8
202102,15.7,-7.4
202103,38.7,6.4
202104,42.9,0.0
202105,52.4,-0.3
202106,64.3,2.5
202107,66.8,0.7
202108,66.8,2.6
202109,59.0,2.7
202110,50.3,5.7
202111,33.9,1.1
202112,33.6,10.0
202201,17.4,-2.2
